"Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","HPMR.Ligand","HPMR.Receptor","PMID.Manual","Pair.Source","Pair.Evidence"
"A2m_Lrp1","A2m","alpha-2-macroglobulin","Lrp1","low density lipoprotein receptor-related protein 1","","HPMR","","HPRD","STRING.binding","STRING.experiment","A2M","LRP1","","known","literature supported"
"Aanat_Mtnr1a","Aanat","aralkylamine N-acetyltransferase","Mtnr1a","melatonin receptor 1A","","HPMR","","","","","AANAT","MTNR1A","","known","literature supported"
"Aanat_Mtnr1b","Aanat","aralkylamine N-acetyltransferase","Mtnr1b","melatonin receptor 1B","","HPMR","","","","","AANAT","MTNR1B","","known","literature supported"
"Ace_Agtr2","Ace","angiotensin I converting enzyme","Agtr2","angiotensin II receptor, type 2","","","","HPRD","","","ACE","AGTR2","","novel","literature supported"
"Ace_Bdkrb2","Ace","angiotensin I converting enzyme","Bdkrb2","bradykinin receptor B2","","","","HPRD","","","ACE","BDKRB2","","novel","literature supported"
"Adam10_Axl","Adam10","ADAM metallopeptidase domain 10","Axl","AXL receptor tyrosine kinase","","","","HPRD","","","ADAM10","AXL","","novel","literature supported"
"Adam10_Epha3","Adam10","ADAM metallopeptidase domain 10","Epha3","EPH receptor A3","","","","HPRD","","STRING.experiment","ADAM10","EPHA3","","novel","literature supported"
"Adam12_Itga9","Adam12","ADAM metallopeptidase domain 12","Itga9","integrin, alpha 9","","HPMR","","","STRING.binding","","ADAM12","ITGA9","","known","literature supported"
"Adam12_Itgb1","Adam12","ADAM metallopeptidase domain 12","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","HPMR","","","STRING.binding","","ADAM12","ITGB1","","known","literature supported"
"Adam12_Sdc4","Adam12","ADAM metallopeptidase domain 12","Sdc4","syndecan 4","","HPMR","","","STRING.binding","","ADAM12","SDC4","","known","literature supported"
"Adam15_Itga5","Adam15","ADAM metallopeptidase domain 15","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","HPMR","","","","","ADAM15","ITGA5","","known","literature supported"
"Adam15_Itga9","Adam15","ADAM metallopeptidase domain 15","Itga9","integrin, alpha 9","","HPMR","","","STRING.binding","","ADAM15","ITGA9","","known","literature supported"
"Adam15_Itgav","Adam15","ADAM metallopeptidase domain 15","Itgav","integrin, alpha V","","","","","STRING.binding","","ADAM15","ITGAV","9914169","novel","literature supported"
"Adam15_Itgb1","Adam15","ADAM metallopeptidase domain 15","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","HPMR","","","STRING.binding","","ADAM15","ITGB1","","known","literature supported"
"Adam15_Itgb3","Adam15","ADAM metallopeptidase domain 15","Itgb3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","","HPMR","","","","","ADAM15","ITGB3","","known","literature supported"
"Adam17_Erbb4","Adam17","ADAM metallopeptidase domain 17","Erbb4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4","","","","HPRD","","","ADAM17","ERBB4","","novel","literature supported"
"Adam17_Itga5","Adam17","ADAM metallopeptidase domain 17","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","HPMR","","","","","ADAM17","ITGA5","","known","literature supported"
"Adam17_Itgb1","Adam17","ADAM metallopeptidase domain 17","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","HPMR","","","","","ADAM17","ITGB1","","known","literature supported"
"Adam17_Notch1","Adam17","ADAM metallopeptidase domain 17","Notch1","notch 1","","","","HPRD","STRING.binding","","ADAM17","NOTCH1","","novel","literature supported"
"Adam23_Itga5","Adam23","ADAM metallopeptidase domain 23","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","HPMR","","","","","ADAM23","ITGA5","","known","literature supported"
"Adam23_Itgb3","Adam23","ADAM metallopeptidase domain 23","Itgb3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","","HPMR","","","","","ADAM23","ITGB3","","known","literature supported"
"Adam28_Itga4","Adam28","ADAM metallopeptidase domain 28","Itga4","integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)","","","","HPRD","","","ADAM28","ITGA4","","novel","literature supported"
"Adam2_Cd9","Adam2","ADAM metallopeptidase domain 2","Cd9","CD9 molecule","","","","HPRD","","","ADAM2","CD9","","novel","literature supported"
"Adam2_Itga6","Adam2","ADAM metallopeptidase domain 2","Itga6","integrin, alpha 6","","HPMR","","","","","ADAM2","ITGA6","","known","literature supported"
"Adam2_Itga9","Adam2","ADAM metallopeptidase domain 2","Itga9","integrin, alpha 9","","","","","STRING.binding","","ADAM2","ITGA9","21060781","novel","literature supported"
"Adam2_Itgb1","Adam2","ADAM metallopeptidase domain 2","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","HPMR","","","STRING.binding","","ADAM2","ITGB1","","known","literature supported"
"Adam2_Itgb7","Adam2","ADAM metallopeptidase domain 2","Itgb7","integrin, beta 7","","","","","","","","","21060781","novel","literature supported"
"Adam9_Itga3","Adam9","ADAM metallopeptidase domain 9","Itga3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","","","","HPRD","","","ADAM9","ITGA3","","novel","literature supported"
"Adam9_Itga6","Adam9","ADAM metallopeptidase domain 9","Itga6","integrin, alpha 6","","HPMR","","HPRD","","","ADAM9","ITGA6","","known","literature supported"
"Adam9_Itgav","Adam9","ADAM metallopeptidase domain 9","Itgav","integrin, alpha V","","HPMR","","HPRD","","","ADAM9","ITGAV","","known","literature supported"
"Adam9_Itgb1","Adam9","ADAM metallopeptidase domain 9","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","HPMR","","","","","ADAM9","ITGB1","","known","literature supported"
"Adam9_Itgb5","Adam9","ADAM metallopeptidase domain 9","Itgb5","integrin, beta 5","","HPMR","","","","","ADAM9","ITGB5","","known","literature supported"
"Adcyap1_Adcyap1r1","Adcyap1","adenylate cyclase activating polypeptide 1 (pituitary)","Adcyap1r1","adenylate cyclase activating polypeptide 1 (pituitary) receptor type I","","HPMR","IUPHAR","HPRD","","","ADCYAP1","ADCYAP1R1","","known","literature supported"
"Adcyap1_Sctr","Adcyap1","adenylate cyclase activating polypeptide 1 (pituitary)","Sctr","secretin receptor","","","","HPRD","","","ADCYAP1","SCTR","","novel","literature supported"
"Adcyap1_Vipr1","Adcyap1","adenylate cyclase activating polypeptide 1 (pituitary)","Vipr1","vasoactive intestinal peptide receptor 1","","HPMR","IUPHAR","HPRD","","","ADCYAP1","VIPR1","","known","literature supported"
"Adcyap1_Vipr2","Adcyap1","adenylate cyclase activating polypeptide 1 (pituitary)","Vipr2","vasoactive intestinal peptide receptor 2","","","IUPHAR","HPRD","","","ADCYAP1","VIPR2","","known","literature supported"
"Adipoq_Adipor1","Adipoq","adiponectin, C1Q and collagen domain containing","Adipor1","adiponectin receptor 1","","HPMR","","","STRING.binding","","ADIPOQ","ADIPOR1","","known","literature supported"
