mgi_symbol	ensembl_gene_id	external_gene_name
Pbsn	ENSMUSG00000000003	Pbsn
Tfe3	ENSMUSG00000000134	Tfe3
Gpr107	ENSMUSG00000000194	Gpr107
Lhx2	ENSMUSG00000000247	Lhx2
Cdh4	ENSMUSG00000000305	Cdh4
Ckmt1	ENSMUSG00000000308	Ckmt1
Mcts1	ENSMUSG00000000355	Mcts1
Rem1	ENSMUSG00000000359	Rem1
Fap	ENSMUSG00000000392	Fap
Gcg	ENSMUSG00000000394	Gcg
Gpa33	ENSMUSG00000000544	Gpa33
Ddx3x	ENSMUSG00000000787	Ddx3x
Fasl	ENSMUSG00000000817	Fasl
Zfp512b	ENSMUSG00000000823	Zfp512b
Dnajc5	ENSMUSG00000000826	Dnajc5
Tpd52l2	ENSMUSG00000000827	Tpd52l2
Fmr1	ENSMUSG00000000838	Fmr1
Pxmp4	ENSMUSG00000000876	Pxmp4
Dlg3	ENSMUSG00000000881	Dlg3
Dbh	ENSMUSG00000000889	Dbh
Araf	ENSMUSG00000001127	Araf
Cfp	ENSMUSG00000001128	Cfp
Timp1	ENSMUSG00000001131	Timp1
Uxt	ENSMUSG00000001134	Uxt
Cnnm3	ENSMUSG00000001138	Cnnm3
Lman2l	ENSMUSG00000001143	Lman2l
Ocrl	ENSMUSG00000001173	Ocrl
Rrp15	ENSMUSG00000001305	Rrp15
Ube2c	ENSMUSG00000001403	Ube2c
Ddx18	ENSMUSG00000001674	Ddx18
Crnkl1	ENSMUSG00000001767	Crnkl1
Rin2	ENSMUSG00000001768	Rin2
Evx2	ENSMUSG00000001815	Evx2
Hoxd13	ENSMUSG00000001819	Hoxd13
Hoxd12	ENSMUSG00000001823	Hoxd12
Nup214	ENSMUSG00000001855	Nup214
Aif1l	ENSMUSG00000001864	Aif1l
Uba1	ENSMUSG00000001924	Uba1
Fam50a	ENSMUSG00000001962	Fam50a
Emd	ENSMUSG00000001964	Emd
Gria3	ENSMUSG00000001986	Gria3
Ap4e1	ENSMUSG00000001998	Ap4e1
Blvra	ENSMUSG00000001999	Blvra
Pdzd4	ENSMUSG00000002006	Pdzd4
Srpk3	ENSMUSG00000002007	Srpk3
Idh3g	ENSMUSG00000002010	Idh3g
Pnck	ENSMUSG00000002012	Pnck
Ssr4	ENSMUSG00000002014	Ssr4
Bcap31	ENSMUSG00000002015	Bcap31
Mybpc3	ENSMUSG00000002100	Mybpc3
Psmc3	ENSMUSG00000002102	Psmc3
Acp2	ENSMUSG00000002103	Acp2
Rapsn	ENSMUSG00000002104	Rapsn
Slc39a13	ENSMUSG00000002105	Slc39a13
Celf2	ENSMUSG00000002107	Celf2
Nr1h3	ENSMUSG00000002108	Nr1h3
Ddb2	ENSMUSG00000002109	Ddb2
Spi1	ENSMUSG00000002111	Spi1
Prpf6	ENSMUSG00000002455	Prpf6
Rgs19	ENSMUSG00000002458	Rgs19
Rgs20	ENSMUSG00000002459	Rgs20
Golga2	ENSMUSG00000002546	Golga2
Uck1	ENSMUSG00000002550	Uck1
Cse1l	ENSMUSG00000002718	Cse1l
Naa20	ENSMUSG00000002728	Naa20
Prkra	ENSMUSG00000002731	Prkra
Fkbp7	ENSMUSG00000002732	Fkbp7
Plekha3	ENSMUSG00000002733	Plekha3
Nab1	ENSMUSG00000002881	Nab1
Elf3	ENSMUSG00000003051	Elf3
Tbc1d8	ENSMUSG00000003134	Tbc1d8
Cnot11	ENSMUSG00000003135	Cnot11
Hck	ENSMUSG00000003283	Hck
St8sia6	ENSMUSG00000003418	St8sia6
Ncstn	ENSMUSG00000003458	Ncstn
Pex19	ENSMUSG00000003464	Pex19
Aven	ENSMUSG00000003604	Aven
Snrnp200	ENSMUSG00000003660	Snrnp200
Ciao1	ENSMUSG00000003662	Ciao1
Insig2	ENSMUSG00000003721	Insig2
Brinp2	ENSMUSG00000004031	Brinp2
Map3k20	ENSMUSG00000004085	Map3k20
Angptl2	ENSMUSG00000004105	Angptl2
Cacna1e	ENSMUSG00000004110	Cacna1e
Cacna1b	ENSMUSG00000004113	Cacna1b
Ikbkg	ENSMUSG00000004221	Ikbkg
Clcn5	ENSMUSG00000004317	Clcn5
Cul3	ENSMUSG00000004364	Cul3
Ralb	ENSMUSG00000004451	Ralb
Ctse	ENSMUSG00000004552	Ctse
Ly9	ENSMUSG00000004707	Ly9
Cd244a	ENSMUSG00000004709	Cd244a
Rab23	ENSMUSG00000004768	Rab23
Pax3	ENSMUSG00000004872	Pax3
Lbr	ENSMUSG00000004880	Lbr
Cd44	ENSMUSG00000005087	Cd44
Slc1a2	ENSMUSG00000005089	Slc1a2
Eif2ak4	ENSMUSG00000005102	Eif2ak4
G6pc2	ENSMUSG00000005232	G6pc2
Spc25	ENSMUSG00000005233	Spc25
Cadm3	ENSMUSG00000005338	Cadm3
Fcer1a	ENSMUSG00000005339	Fcer1a
Usp40	ENSMUSG00000005501	Usp40
Kbtbd4	ENSMUSG00000005505	Kbtbd4
Celf1	ENSMUSG00000005506	Celf1
