	p_val	avg_logFC	pct.1	pct.2	p_val_adj	which_high
Lgals1	0	2.12038187536208	0.894	0.246	0	Astroependymal
Tmsb10	0	1.61690657776901	0.992	0.641	0	Astroependymal
S100a6	0	1.60170256817472	0.983	0.501	0	Astroependymal
Ccnd1	0	1.38668789910472	0.765	0.115	0	Astroependymal
S100a10	0	1.38087321882213	0.986	0.692	0	Astroependymal
Tubb5	0	1.36878473708367	0.975	0.485	0	Astroependymal
Crym	0	1.34848184235733	0.635	0.073	0	Astroependymal
Timp1	0	1.3105970738366	0.771	0.187	0	Astroependymal
Anxa2	0	1.26933535466617	0.978	0.837	0	Astroependymal
Vgf	0	1.25676138926759	0.447	0.048	0	Astroependymal
Lgals3	0	1.25547057979823	0.96	0.632	0	Astroependymal
2200002D01Rik	0	1.25056721788445	0.749	0.135	0	Astroependymal
Eif4a1	0	1.24527748879214	0.982	0.645	0	Astroependymal
Mif	0	1.23838979980559	0.988	0.691	0	Astroependymal
Cd44	0	1.14912272494912	0.755	0.127	0	Astroependymal
Tnfrsf12a	0	1.12251332207538	0.819	0.233	0	Astroependymal
Tm4sf1	0	1.11386389266098	0.994	0.978	0	Astroependymal
Tgm1	0	1.10541191699037	0.53	0.064	0	Astroependymal
Ppp1r14b	0	1.08925057293261	0.774	0.274	0	Astroependymal
Hbegf	0	1.08434420885072	0.905	0.527	0	Astroependymal
S100a11	0	1.05859447192968	0.986	0.696	0	Astroependymal
Dhrs1	0	1.05652816867079	0.893	0.418	0	Astroependymal
Pold4	0	1.04912596784704	0.694	0.062	0	Astroependymal
Rps18	0	1.04308112118911	0.998	0.973	0	Astroependymal
Rpl32	0	1.03144521212442	0.999	0.979	0	Astroependymal
Serpine1	0	1.02439377276698	0.422	0.021	0	Astroependymal
Arpc1b	0	1.02245966224804	0.801	0.184	0	Astroependymal
Rps26	0	1.02057675994385	0.998	0.921	0	Astroependymal
Pfn1	0	0.986769701028497	0.996	0.783	0	Astroependymal
Nme1	0	0.982676880615357	0.966	0.572	0	Astroependymal
Rpsa	0	0.940339751419976	0.996	0.925	0	Astroependymal
