	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1700094D03Rik	0	1.40277708570055	0.647	0.123	0	Ependymal-A	1700094D03Rik
Ccdc153	0	1.27824495210294	0.936	0.268	0	Ependymal-A	Ccdc153
Rarres2	0	1.24234825599544	0.954	0.385	0	Ependymal-A	Rarres2
Cdr1os	0	1.22010434606612	0.724	0.26	0	Ependymal-A	Cdr1os
Pcp4l1	0	1.20628218395902	0.959	0.356	0	Ependymal-A	Pcp4l1
Nnat	0	1.15741501208966	0.994	0.775	0	Ependymal-A	Nnat
Tmem212	0	1.15617674531036	0.953	0.306	0	Ependymal-A	Tmem212
Syne1	0	1.09516019515262	0.814	0.421	0	Ependymal-A	Syne1
Gm19935	0	1.06777462119516	0.884	0.269	0	Ependymal-A	Gm19935
Foxj1	0	1.06664858218373	0.91	0.33	0	Ependymal-A	Foxj1
Rsph1	0	1.05737186863089	0.986	0.415	0	Ependymal-A	Rsph1
Dynlrb2	0	1.05353677803142	0.972	0.32	0	Ependymal-A	Dynlrb2
Btg2	0	1.04849285423134	0.96	0.579	0	Ependymal-A	Btg2
Cfap54	0	1.02457087434856	0.78	0.203	0	Ependymal-A	Cfap54
Zfp36l1	0	1.02299956776619	0.949	0.646	0	Ependymal-A	Zfp36l1
Ak7	0	1.02199507271767	0.798	0.205	0	Ependymal-A	Ak7
Egr1	0	1.00716217110358	0.928	0.639	0	Ependymal-A	Egr1
Pltp	0	1.00508223715305	0.951	0.424	0	Ependymal-A	Pltp
Ecrg4	0	1.00506657159072	0.995	0.482	0	Ependymal-A	Ecrg4
Zfp36	0	1.00397237553227	0.857	0.466	0	Ependymal-A	Zfp36
Atf3	0	0.991599864482086	0.879	0.466	0	Ependymal-A	Atf3
Nudt4	0	0.991192782651532	0.887	0.512	0	Ependymal-A	Nudt4
3300002A11Rik	0	0.973424943238474	0.788	0.175	0	Ependymal-A	3300002A11Rik
1110017D15Rik	0	0.954368400230799	0.955	0.314	0	Ependymal-A	1110017D15Rik
1700007K13Rik	0	0.946872060317533	0.954	0.342	0	Ependymal-A	1700007K13Rik
Ascc1	0	0.93897720923658	0.916	0.34	0	Ependymal-A	Ascc1
Mia	0	0.920647307437496	0.987	0.428	0	Ependymal-A	Mia
Enkur	0	0.920616638081595	0.871	0.275	0	Ependymal-A	Enkur
Hspa1b	0	0.912396717298827	0.576	0.2	0	Ependymal-A	Hspa1b
Stoml3	0	0.907898627371049	0.752	0.159	0	Ependymal-A	Stoml3
Elof1	0	0.907561039727017	0.987	0.647	0	Ependymal-A	Elof1
Nr4a3	0	0.905508891089667	0.701	0.218	0	Ependymal-A	Nr4a3
Fam183b	0	0.896028997699123	0.988	0.417	0	Ependymal-A	Fam183b
Dnah12	0	0.889003218213462	0.797	0.197	0	Ependymal-A	Dnah12
Mlf1	0	0.884598911501098	0.945	0.381	0	Ependymal-A	Mlf1
Elmod1	0	0.877800923618989	0.777	0.207	0	Ependymal-A	Elmod1
Fos	0	0.877013719011751	0.994	0.868	0	Ependymal-A	Fos
Cfap126	0	0.873968951450799	0.976	0.394	0	Ependymal-A	Cfap126
1700012B09Rik	0	0.872869785005233	0.872	0.25	0	Ependymal-A	1700012B09Rik
Odf3b	0	0.872503091516282	0.918	0.302	0	Ependymal-A	Odf3b
Hspa2	0	0.868939259387008	0.969	0.519	0	Ependymal-A	Hspa2
Spef2	0	0.865478424698508	0.746	0.206	0	Ependymal-A	Spef2
Fhl1	0	0.862986327718986	0.941	0.425	0	Ependymal-A	Fhl1
Dnah6	0	0.855739556051777	0.698	0.149	0	Ependymal-A	Dnah6
Pcp4	0	0.85171619809993	0.688	0.185	0	Ependymal-A	Pcp4
Gm973	0	0.848853012618284	0.775	0.199	0	Ependymal-A	Gm973
1700016K19Rik	0	0.841941968807156	0.915	0.306	0	Ependymal-A	1700016K19Rik
Hsp90aa1	0	0.836698236538778	0.999	0.963	0	Ependymal-A	Hsp90aa1
Riiad1	0	0.833053411157054	0.945	0.337	0	Ependymal-A	Riiad1
Hydin	0	0.831478309469564	0.647	0.114	0	Ependymal-A	Hydin
Id4	0	0.822253870535188	0.766	0.273	0	Ependymal-A	Id4
Iqca	0	0.816656893945875	0.724	0.172	0	Ependymal-A	Iqca
1700024G13Rik	0	0.812886548478167	0.62	0.092	0	Ependymal-A	1700024G13Rik
Fam216b	0	0.812179005225757	0.754	0.177	0	Ependymal-A	Fam216b
Pde6d	0	0.808026984314032	0.903	0.597	0	Ependymal-A	Pde6d
2410004P03Rik	0	0.798961486191771	0.887	0.306	0	Ependymal-A	2410004P03Rik
Sox9	0	0.798189924549739	0.914	0.515	0	Ependymal-A	Sox9
Rnase4	0	0.794728441607354	0.883	0.324	0	Ependymal-A	Rnase4
Nme9	0	0.793135474877611	0.591	0.073	0	Ependymal-A	Nme9
Socs3	0	0.784251583001899	0.882	0.619	0	Ependymal-A	Socs3
Cd24a	0	0.779612353318032	0.981	0.56	0	Ependymal-A	Cd24a
Fam166c	0	0.773290918208081	0.799	0.209	0	Ependymal-A	Fam166c
Dnali1	0	0.77114000497279	0.754	0.205	0	Ependymal-A	Dnali1
Hipk1	0	0.769734404357563	0.824	0.449	0	Ependymal-A	Hipk1
Aebp1	0	0.767315461962649	0.899	0.519	0	Ependymal-A	Aebp1
Calml4	0	0.763775880258708	0.826	0.278	0	Ependymal-A	Calml4
Trp53bp2	0	0.763708632249234	0.799	0.316	0	Ependymal-A	Trp53bp2
Ccdc113	0	0.762500205021945	0.77	0.214	0	Ependymal-A	Ccdc113
Rsph4a	0	0.762411328859253	0.698	0.153	0	Ependymal-A	Rsph4a
Tmem107	0	0.761930211819211	0.936	0.431	0	Ependymal-A	Tmem107
Meig1	0	0.760531424514769	0.84	0.263	0	Ependymal-A	Meig1
Lrrc51	0	0.759059260380271	0.88	0.323	0	Ependymal-A	Lrrc51
Csrp2	0	0.738430468380652	0.831	0.351	0	Ependymal-A	Csrp2
Rassf9	0	0.737201200760302	0.645	0.154	0	Ependymal-A	Rassf9
Dmkn	0	0.736731352530131	0.762	0.189	0	Ependymal-A	Dmkn
Fzd3	0	0.736168643967085	0.724	0.319	0	Ependymal-A	Fzd3
Bphl	0	0.729064434875727	0.886	0.434	0	Ependymal-A	Bphl
Ccdc39	0	0.728733847141009	0.649	0.17	0	Ependymal-A	Ccdc39
2010001K21Rik	0	0.72689010066452	0.51	0.063	0	Ependymal-A	2010001K21Rik
Gm10714	0	0.725753474498843	0.774	0.215	0	Ependymal-A	Gm10714
Mns1	0	0.725250243687632	0.778	0.29	0	Ependymal-A	Mns1
Sorl1	0	0.724555447743011	0.765	0.292	0	Ependymal-A	Sorl1
Ppp1r36	0	0.723852124190709	0.764	0.25	0	Ependymal-A	Ppp1r36
Pifo	0	0.722590617685591	0.835	0.289	0	Ependymal-A	Pifo
Iqcg	0	0.722167669245268	0.763	0.236	0	Ependymal-A	Iqcg
Cfap45	0	0.719645506814745	0.806	0.268	0	Ependymal-A	Cfap45
Drc3	0	0.719203996620722	0.709	0.183	0	Ependymal-A	Drc3
Cfap44	0	0.710065834773036	0.616	0.145	0	Ependymal-A	Cfap44
Prelp	0	0.704299841214983	0.86	0.356	0	Ependymal-A	Prelp
Sptan1	0	0.703064616415652	0.797	0.489	0	Ependymal-A	Sptan1
Sox2	0	0.702828881129434	0.869	0.622	0	Ependymal-A	Sox2
Wdr78	0	0.701591486087971	0.691	0.192	0	Ependymal-A	Wdr78
