	p_val	avg_logFC	pct.1	pct.2	p_val_adj	which_high
S100a10	1.69766236675253e-267	-1.48441016148756	0.455	0.977	5.63233443417486e-263	OPC-B
Cd44	6.4586759252379e-266	-1.55776725257476	0.158	0.808	2.14279491171618e-261	OPC-B
Klk8	8.3990944518796e-248	-1.37706338255319	0.082	0.689	2.78656756630009e-243	OPC-B
Rps2	3.07167172465734e-247	-0.953606231727277	0.982	1	1.01908852808957e-242	OPC-B
Tubb6	2.42893517064941e-244	-1.02114292896525	0.181	0.84	8.05847821566354e-240	OPC-B
Hmga2	2.27518117811465e-243	-1.32874550033841	0.07	0.653	7.54836859463097e-239	OPC-B
Vgf	4.45071774151922e-224	-2.4553635351917	0.147	0.722	1.47661462510383e-219	OPC-B
Cspg5	3.59196188353771e-220	1.57012007456102	0.953	0.777	1.1917051941013e-215	OPC-A
Lhfpl3	5.35656118359003e-215	1.13923228975377	0.941	0.803	1.77714630387967e-210	OPC-A
Cntn1	5.93094424219028e-214	1.26698878289413	0.934	0.765	1.96770937123147e-209	OPC-A
Rpsa	1.34951163542973e-208	-0.75698913731003	0.967	0.995	4.47727475286521e-204	OPC-B
Syt4	5.7732650896754e-207	-1.36441083225029	0.277	0.849	1.91539615880161e-202	OPC-B
Vim	3.03864079924826e-206	-1.52677664147465	0.426	0.896	1.00812985796659e-201	OPC-B
Aldh1a3	1.62819057860665e-205	-1.27806848958955	0.105	0.656	5.40184788264329e-201	OPC-B
Rpl12	5.10950814309306e-204	-0.761077102367546	0.91	0.991	1.69518151663399e-199	OPC-B
Rps10	2.29717372858973e-202	-0.67203295886131	0.954	0.996	7.62133327934214e-198	OPC-B
Rplp1	2.19878254813287e-201	-0.68892335868732	0.992	1	7.29490085994044e-197	OPC-B
Efhd2	5.45325880993097e-199	-1.23024943252523	0.084	0.604	1.8092276753708e-194	OPC-B
Tnfrsf12a	1.16352975167346e-198	-1.26226710234889	0.257	0.808	3.86024265712703e-194	OPC-B
Gpr37l1	1.33600382173804e-198	1.00283058643948	0.95	0.802	4.43245987938029e-194	OPC-A
Rps18	4.23812510268568e-197	-0.795991059443458	0.99	0.997	1.40608276531803e-192	OPC-B
Emp3	1.61410060651707e-196	-0.879678272498529	0.156	0.736	5.35510158224167e-192	OPC-B
Rps8	4.74515228980578e-196	-0.63041891694111	0.991	1	1.57429917518886e-191	OPC-B
Rpl8	5.16068913134536e-196	-0.653015783100113	0.979	0.999	1.71216183310645e-191	OPC-B
