""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Retnlg"	0	4.66902738661842	0.857	0.083	0	"Neutrophil"	"Retnlg"
"S100a9"	0	3.84778480529737	0.988	0.311	0	"Neutrophil"	"S100a9"
"S100a8"	0	3.35229490715933	0.991	0.567	0	"Neutrophil"	"S100a8"
"G0s2"	0	3.04913096408717	0.892	0.07	0	"Neutrophil"	"G0s2"
"Cstdc4"	0	2.95501488430484	0.401	0.011	0	"Neutrophil"	"Cstdc4"
"Lcn2"	0	2.71746132333149	0.892	0.101	0	"Neutrophil"	"Lcn2"
"Wfdc21"	0	2.68643069902508	0.893	0.084	0	"Neutrophil"	"Wfdc21"
"Mmp9"	0	2.45679089705731	0.85	0.029	0	"Neutrophil"	"Mmp9"
"Il1r2"	0	2.4372264024958	0.874	0.097	0	"Neutrophil"	"Il1r2"
"Cxcr2"	0	2.42631000091073	0.783	0.016	0	"Neutrophil"	"Cxcr2"
"ENSMUSG00000098178"	0	2.39315753879586	0.731	0.324	0	"Neutrophil"	"ENSMUSG00000098178"
"Mxd1"	0	2.29078028226253	0.842	0.204	0	"Neutrophil"	"Mxd1"
"Hdc"	0	2.26068917786455	0.818	0.036	0	"Neutrophil"	"Hdc"
"Ngp"	0	2.18860022554152	0.497	0.077	0	"Neutrophil"	"Ngp"
"Stfa2l1"	0	2.15439161094149	0.365	0.005	0	"Neutrophil"	"Stfa2l1"
"Acod1"	0	2.15018447352749	0.62	0.02	0	"Neutrophil"	"Acod1"
"Lilrb4a"	0	2.13490070260051	0.637	0.05	0	"Neutrophil"	"Lilrb4a"
"Ifitm1"	0	2.03667544403299	0.762	0.194	0	"Neutrophil"	"Ifitm1"
"Atp6v0c"	0	2.01111559016498	0.638	0.043	0	"Neutrophil"	"Atp6v0c"
"F630028O10Rik"	0	1.96934953855739	0.73	0.106	0	"Neutrophil"	"F630028O10Rik"
"Txnip"	0	1.9474821143774	0.814	0.26	0	"Neutrophil"	"Txnip"
"Ifitm6"	0	1.88555596969533	0.598	0.124	0	"Neutrophil"	"Ifitm6"
"Cd33"	0	1.88279272146782	0.817	0.323	0	"Neutrophil"	"Cd33"
"Pglyrp1"	0	1.86518350991389	0.683	0.086	0	"Neutrophil"	"Pglyrp1"
"Hp"	0	1.83867120657554	0.852	0.195	0	"Neutrophil"	"Hp"
"Trem1"	0	1.83767483792155	0.802	0.159	0	"Neutrophil"	"Trem1"
"Slfn4"	0	1.8184336532517	0.665	0.057	0	"Neutrophil"	"Slfn4"
"Cd177"	0	1.80617238302375	0.733	0.041	0	"Neutrophil"	"Cd177"
"Fpr2"	0	1.7350504164399	0.748	0.046	0	"Neutrophil"	"Fpr2"
"Samsn1"	0	1.73230624539541	0.853	0.342	0	"Neutrophil"	"Samsn1"
"Csf3r"	0	1.72217867582485	0.752	0.164	0	"Neutrophil"	"Csf3r"
"Lrg1"	0	1.65869355275282	0.679	0.119	0	"Neutrophil"	"Lrg1"
"Srgn"	0	1.65861462351988	0.969	0.962	0	"Neutrophil"	"Srgn"
"Mmp8"	0	1.65777492593193	0.605	0.178	0	"Neutrophil"	"Mmp8"
"Slfn1"	0	1.64465364473312	0.695	0.1	0	"Neutrophil"	"Slfn1"
"Il1b"	0	1.64319812441329	0.864	0.421	0	"Neutrophil"	"Il1b"
"Fpr1"	0	1.5498764726339	0.63	0.03	0	"Neutrophil"	"Fpr1"
"Ccr1"	0	1.54957570616308	0.78	0.401	0	"Neutrophil"	"Ccr1"
"Mcl1"	0	1.53821762120777	0.885	0.773	0	"Neutrophil"	"Mcl1"
"Grina"	0	1.50122977978642	0.873	0.657	0	"Neutrophil"	"Grina"
"Cxcl2"	0	1.49295736310181	0.81	0.422	0	"Neutrophil"	"Cxcl2"
"Upp1"	0	1.4683988691183	0.603	0.035	0	"Neutrophil"	"Upp1"
"Il1rn"	0	1.46193711397343	0.698	0.203	0	"Neutrophil"	"Il1rn"
"Il1f9"	0	1.45014179078567	0.541	0.009	0	"Neutrophil"	"Il1f9"
"Clec4e"	0	1.44861030549082	0.778	0.283	0	"Neutrophil"	"Clec4e"
"Vasp"	0	1.44631686079141	0.909	0.577	0	"Neutrophil"	"Vasp"
