""	"p.value"	"FDR"	"gene"	"cluster"
"P2ry12"	3.15585072266403e-46	1.04701659425825e-41	"P2ry12"	"C0"
"Gpr34"	5.34868684483004e-36	8.87266917254632e-32	"Gpr34"	"C0"
"Cst3"	2.57176235836558e-35	2.84411199211651e-31	"Cst3"	"C0"
"Hexb"	5.14108345664226e-34	4.26414314602551e-30	"Hexb"	"C0"
"Csf1r"	1.31421545676116e-26	8.72034524179298e-23	"Csf1r"	"C0"
"Sparc"	3.47988322292583e-24	1.92420142811683e-20	"Sparc"	"C0"
"mt-Cytb"	1.36942304170842e-19	6.4904783221086e-16	"mt-Cytb"	"C0"
"Tmem119"	1.61178879903935e-19	6.68428962321606e-16	"Tmem119"	"C0"
"Ptgs1"	4.09566083721389e-19	1.50979710662495e-15	"Ptgs1"	"C0"
"Cd81"	3.42073044326481e-17	1.13489573916196e-13	"Cd81"	"C0"
"Cx3cr1"	2.50364759834054e-15	7.16958015231231e-12	"Cx3cr1"	"C0"
"Siglech"	2.59321101449039e-15	7.16958015231231e-12	"Siglech"	"C0"
"Junb"	3.22278907233871e-15	8.22480561946012e-12	"Junb"	"C0"
"Otulinl"	1.49132103275086e-13	3.53411127882681e-10	"Otulinl"	"C0"
"Mef2c"	2.76003617835468e-13	6.10464801928487e-10	"Mef2c"	"C0"
"Fscn1"	8.02174856601272e-13	1.66335970109128e-09	"Fscn1"	"C0"
"Olfml3"	1.54450787600909e-11	3.01424340013846e-08	"Olfml3"	"C0"
"Kctd12"	2.5947406465084e-11	4.78253946828939e-08	"Kctd12"	"C0"
"Rpl10a"	1.28529007608309e-10	2.13688161684895e-07	"Rpl10a"	"C0"
"Ckb"	1.28817048970609e-10	2.13688161684895e-07	"Ckb"	"C0"
"Zfhx3"	1.68609710440224e-10	2.66379255394062e-07	"Zfhx3"	"C0"
"mt-Nd4"	4.20849950479281e-10	6.34660854865959e-07	"mt-Nd4"	"C0"
"Man2b1"	7.07340450843781e-10	1.02032322337583e-06	"Man2b1"	"C0"
"Rpl27a"	2.25640263969704e-09	3.1191945990512e-06	"Rpl27a"	"C0"
"Hpgds"	2.57561663756177e-09	3.41804932737548e-06	"Hpgds"	"C0"
"Nfkbia"	1.06404320585855e-08	1.3577600554142e-05	"Nfkbia"	"C0"
"Rps21"	1.13202894525755e-08	1.39101201173369e-05	"Rps21"	"C0"
"Rpl7a"	3.03460683483736e-08	3.59568396283568e-05	"Rpl7a"	"C0"
"Glul"	3.2430283688367e-08	3.71013628251363e-05	"Glul"	"C0"
"Bin1"	4.42703383882146e-08	4.89585672235266e-05	"Bin1"	"C0"
"Sft2d1"	5.97100569947216e-08	6.39032439004477e-05	"Sft2d1"	"C0"
"Ldhb"	7.39747021236258e-08	7.66955841361105e-05	"Ldhb"	"C0"
"Fcgr3"	7.79933183565922e-08	7.84116461550503e-05	"Fcgr3"	"C0"
"Pabpc1"	4.89766359526249e-07	0.000477911132647128	"Pabpc1"	"C0"
"Bcl2a1b"	1.18021539249757e-28	3.91560060768921e-24	"Bcl2a1b"	"C1"
"Bcl2a1a"	1.65441741802456e-18	2.74443033389005e-14	"Bcl2a1a"	"C1"
"Cd83"	3.30278263091733e-15	3.65254731153147e-11	"Cd83"	"C1"
"Nfkbiz"	1.15505329817978e-11	9.58030081842765e-08	"Nfkbiz"	"C1"
"Fcrls"	2.7990532170986e-11	1.8572837716736e-07	"Fcrls"	"C1"
"Gadd45b"	6.14764497682697e-10	3.39934028993647e-06	"Gadd45b"	"C1"
"Nab2"	1.25350068980858e-09	5.94105605511131e-06	"Nab2"	"C1"
"Tlr2"	9.03907722390536e-09	3.74861831321885e-05	"Tlr2"	"C1"
"Cst7"	6.1976173322922e-08	0.000228464833592731	"Cst7"	"C1"
"Il1a"	1.98318204925625e-07	0.000657960308481746	"Il1a"	"C1"
"Ftl1"	1.81555721429959e-115	6.02347416988167e-111	"Ftl1"	"C2"
"Fabp5"	8.73725625087669e-89	1.44937975317666e-84	"Fabp5"	"C2"
"Lgals3"	2.37263859980308e-65	2.6239010275222e-61	"Lgals3"	"C2"
"Psap"	3.18186241721651e-60	2.6391162353998e-56	"Psap"	"C2"
"Cyba"	4.36394040172618e-45	2.89564901416139e-41	"Cyba"	"C2"
"Pdpn"	8.49772883659747e-40	4.69881916019659e-36	"Pdpn"	"C2"
"Ftl1-ps1"	7.50627931641051e-38	3.55765469829357e-34	"Ftl1-ps1"	"C2"
"Anxa5"	1.9281750146134e-33	7.9963828074786e-30	"Anxa5"	"C2"
"Ap3s1"	1.4177849007334e-28	5.22642773907024e-25	"Ap3s1"	"C2"
"Akr1a1"	3.19197032808032e-27	1.05899999574721e-23	"Akr1a1"	"C2"
"Arg1"	1.85594811206801e-26	5.59770822855276e-23	"Arg1"	"C2"
"Plin2"	1.09918281928463e-24	3.03896569961718e-21	"Plin2"	"C2"
"Lgals1"	5.91025465760155e-24	1.50834245211728e-20	"Lgals1"	"C2"
"Hilpda"	1.05222565494232e-23	2.49354932528723e-20	"Hilpda"	"C2"
"Atp6v1g1"	1.9729122382056e-23	4.36368728846315e-20	"Atp6v1g1"	"C2"
"Prdx1"	3.75234140557996e-21	7.78071442580786e-18	"Prdx1"	"C2"
"Anxa4"	9.27859321291326e-20	1.81079933544014e-16	"Anxa4"	"C2"
"Bax"	8.76779562236818e-18	1.61605086312949e-14	"Bax"	"C2"
"Vat1"	4.75163043300487e-17	8.09653843665074e-14	"Vat1"	"C2"
"Pgam1"	4.88081408002576e-17	8.09653843665074e-14	"Pgam1"	"C2"
"Atp6v1c1"	5.9058571596066e-17	9.33041061829848e-14	"Atp6v1c1"	"C2"
"Prdx6"	2.18028159479098e-14	3.28796374865365e-11	"Prdx6"	"C2"
"Atp6v1d"	7.49560253219986e-14	1.08122437048172e-10	"Atp6v1d"	"C2"
"Atp6v1b2"	1.17122809286813e-13	1.61907643487858e-10	"Atp6v1b2"	"C2"
"Slc27a1"	2.21044205802926e-12	2.93343344636947e-09	"Slc27a1"	"C2"
"Rilpl2"	6.10760997097537e-12	7.53330845968449e-09	"Rilpl2"	"C2"
"Ninj1"	6.13073299006786e-12	7.53330845968449e-09	"Ninj1"	"C2"
"Atp6v0e"	2.15390019609812e-11	2.55214095735527e-08	"Atp6v0e"	"C2"
"Soat1"	2.64814882274822e-11	3.02957356870061e-08	"Soat1"	"C2"
"Spp1"	4.69161092426599e-10	5.18845252114576e-07	"Spp1"	"C2"
"Myof"	7.19552605205148e-10	7.70083767190039e-07	"Myof"	"C2"
"Gabarap"	9.0779877359336e-10	9.41188747234592e-07	"Gabarap"	"C2"
"Gpr137b"	3.69931899332943e-08	3.71916079520274e-05	"Gpr137b"	"C2"
"Lamtor3"	4.27037511533135e-08	4.16700691768671e-05	"Lamtor3"	"C2"
"Atp6v0d1"	4.47662693554699e-08	4.24345862401835e-05	"Atp6v0d1"	"C2"
"Capg"	1.02083502404671e-07	9.4078454424438e-05	"Capg"	"C2"
"Sgk1"	3.15377357781757e-07	0.000282791205381766	"Sgk1"	"C2"
"Fnip2"	5.00301883204445e-07	0.000436803041554575	"Fnip2"	"C2"
"Atp6v1a"	6.11203830583011e-07	0.00051994639710904	"Atp6v1a"	"C2"
"Gpx4"	7.77008767878093e-07	0.000644470497297287	"Gpx4"	"C2"
"Mcfd2"	9.20851052179675e-07	0.000745148179467441	"Mcfd2"	"C2"
"Tmsb4x"	4.24526634353647e-94	1.40845201479508e-89	"Tmsb4x"	"C3"
"Phgdh"	2.86339175810291e-43	4.74993741792902e-39	"Phgdh"	"C3"
"Hmgn1"	3.32678957121102e-39	3.67909658680228e-35	"Hmgn1"	"C3"
"Psat1"	7.29854367224741e-24	6.05359458535381e-20	"Psat1"	"C3"
"Lsm6"	3.43124456475326e-23	2.27676801849638e-19	"Lsm6"	"C3"
"Erp29"	1.08272235374199e-20	5.98691325501636e-17	"Erp29"	"C3"
"Slc25a4"	3.9719537120218e-18	1.88253583291068e-14	"Slc25a4"	"C3"
"Gpaa1"	1.08946730471599e-17	4.51815709607028e-14	"Gpaa1"	"C3"
"Dynll2"	4.52561037088277e-16	1.66829083638642e-12	"Dynll2"	"C3"
"Ncl"	2.46178990088499e-15	8.16748035416614e-12	"Ncl"	"C3"
"Gatm"	6.21610918593003e-15	1.87483504056001e-11	"Gatm"	"C3"
"Apex1"	1.88739305170925e-13	4.99052803084711e-10	"Apex1"	"C3"
"Hacd2"	1.95547711972187e-13	4.99052803084711e-10	"Hacd2"	"C3"
"Hnrnpa1"	8.21154063362233e-13	1.94595916858349e-09	"Hnrnpa1"	"C3"
"Ndufc2"	1.61954024535101e-12	3.58209911466737e-09	"Ndufc2"	"C3"
"Tuba1b"	5.21139996321944e-12	1.02738085751648e-08	"Tuba1b"	"C3"
"Nudc"	5.26433209084006e-12	1.02738085751648e-08	"Nudc"	"C3"
"Vdac2"	9.95006011564007e-12	1.83396191364772e-08	"Vdac2"	"C3"
"Ncln"	1.29061740962803e-11	2.2536217789068e-08	"Ncln"	"C3"
"Cdc37"	1.74981291509694e-11	2.90267715420856e-08	"Cdc37"	"C3"
"Suclg2"	4.81147579094684e-11	7.60144439601159e-08	"Suclg2"	"C3"
"Arpc5l"	2.89049044971254e-10	4.35899098409604e-07	"Arpc5l"	"C3"
"Ssb"	6.28998645370031e-10	9.07316872062675e-07	"Ssb"	"C3"
"G3bp1"	6.57957696873044e-10	9.09544271214875e-07	"G3bp1"	"C3"
"Pebp1"	2.46141802966862e-09	3.26649863881263e-06	"Pebp1"	"C3"
"Gm17018"	2.71515171126461e-09	3.46463801248561e-06	"Gm17018"	"C3"
"Trp53"	5.49439628741237e-09	6.75139206027705e-06	"Trp53"	"C3"
"Gps1"	5.98361740692711e-09	7.08994552534359e-06	"Gps1"	"C3"
"Micos13"	7.38268225444241e-09	8.40495843769507e-06	"Micos13"	"C3"
"Snrpb"	7.60010709620677e-09	8.40495843769507e-06	"Snrpb"	"C3"
"Mcrip2"	8.69081752538011e-09	9.30113719482374e-06	"Mcrip2"	"C3"
"Prmt1"	1.3051083616447e-08	1.35311187857145e-05	"Prmt1"	"C3"
"Mrps11"	2.03154419442757e-08	2.04244065874314e-05	"Mrps11"	"C3"
"Shmt2"	2.50542513449742e-08	2.44477910844768e-05	"Shmt2"	"C3"
"Ppp1r14b"	3.8380791539089e-08	3.63817005969244e-05	"Ppp1r14b"	"C3"
"Atp5g2"	4.68220112937471e-08	4.31503852414624e-05	"Atp5g2"	"C3"
"Cdk2ap1"	6.23508935896433e-08	5.59085296384755e-05	"Cdk2ap1"	"C3"
"Ndufa4"	7.63543360850488e-08	6.66633633761491e-05	"Ndufa4"	"C3"
"Serf1"	8.31355572878258e-08	7.07227790804666e-05	"Serf1"	"C3"
"Nxt2"	9.8853233047783e-08	8.19913428206573e-05	"Nxt2"	"C3"
"3110082I17Rik"	1.29661203969887e-07	0.000104921213758754	"3110082I17Rik"	"C3"
"AU020206"	1.96725414255572e-07	0.000155399025446598	"AU020206"	"C3"
