	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Mt3	0	3.16682319088041	0.917	0.181	0
Nnat	0	2.75836621434174	0.806	0.101	0
Dbi	0	2.73258210112914	0.998	0.822	0
Plp1	0	2.68323692657123	0.475	0.196	0
Clu	0	2.48413443521851	0.778	0.125	0
Ptgds	0	2.22902585524776	0.254	0.109	0
Ecrg4	0	2.21596050678658	0.573	0.052	0
Mt1	0	2.05231372224642	0.983	0.942	0
Chchd10	0	2.02686309369996	0.695	0.162	0
Mt2	0	2.02150992541709	0.883	0.522	0
Gfap	0	1.98993101011654	0.466	0.101	0
Tuba1a	0	1.86436672677114	0.991	0.569	0
Ckb	0	1.84930026311474	0.984	0.629	0
Cryab	0	1.81214367363767	0.617	0.115	0
Mia	0	1.77685148108975	0.529	0.027	0
Cldn11	0	1.63356634354107	0.217	0.053	0
Rarres2	0	1.60061462040189	0.488	0.058	0
Tppp3	0	1.56376260564711	0.654	0.074	0
Gpm6b	0	1.52865600720962	0.692	0.072	0
Aldoc	0	1.52131819547589	0.613	0.094	0
Cnp	0	1.52033380171365	0.635	0.197	0
Cnn3	0	1.51979520625369	0.889	0.242	0
Serpina3n	0	1.50701215779549	0.443	0.064	0
S100b	0	1.50310456271307	0.82	0.113	0
Sox9	0	1.50248496923396	0.586	0.031	0
Atp1b2	0	1.45206357788853	0.631	0.089	0
Scd2	0	1.44770948776065	0.786	0.245	0
Ccdc153	0	1.42890934939478	0.389	0.013	0
Fez1	0	1.41190885780592	0.85	0.059	0
Hspb1	0	1.40335038241806	0.589	0.399	0
Ptprz1	0	1.38928175827821	0.429	0.02	0
Olig1	0	1.3785340968835	0.336	0.023	0
Trf	0	1.31930376175898	0.449	0.636	0
Ndrg2	0	1.31723578332068	0.662	0.078	0
Fam183b	0	1.30955199771749	0.52	0.018	0
Tmem212	0	1.30378859451184	0.424	0.013	0
Cspg5	0	1.30307099949056	0.273	0.021	0
Pcsk1n	0	1.30187181767926	0.744	0.046	0
Slc1a2	0	1.2913917721249	0.354	0.058	0
Syt11	0	1.28997287473859	0.66	0.105	0
Aplp1	0	1.26920565315652	0.34	0.067	0
S100a16	0	1.26735309499602	0.533	0.231	0
Rsph1	0	1.25853198734912	0.519	0.017	0
Tm4sf1	0	1.2553753073899	0.699	0.333	0
Tspan3	0	1.24358480360218	0.912	0.355	0
Vgf	0	1.21139228843259	0.156	0.017	0
Il33	0	1.20288482588387	0.23	0.033	0
Sox2	0	1.19375774053509	0.658	0.013	0
Gpr37l1	0	1.1869510107709	0.477	0.027	0
Mobp	0	1.17960987226116	0.235	0.106	0
Hspa2	0	1.16975078028088	0.59	0.067	0
Ccn1	0	1.15940946725976	0.598	0.203	0
Vim	0	1.14585225611275	0.816	0.777	0
Ntrk2	0	1.13139837324623	0.708	0.026	0
Mbp	0	1.13115023684511	0.484	0.343	0
Fabp7	0	1.13105489082449	0.44	0.037	0
Zbtb20	0	1.08314522119882	0.861	0.354	0
Hsp90aa1	0	1.0824232108903	0.988	0.833	0
Pdlim4	0	1.07926732722106	0.607	0.192	0
Dynlrb2	0	1.07188496686095	0.44	0.01	0
Prnp	0	1.06990744580201	0.889	0.285	0
Atp1a2	0	1.06832172074922	0.38	0.115	0
Fxyd1	0	1.06766076648594	0.529	0.043	0
Rtn1	0	1.06540812331713	0.545	0.076	0
1110017D15Rik	0	1.0640419379184	0.432	0.012	0
Cfap126	0	1.04760699663338	0.499	0.024	0
Tubb4b	0	1.043568647535	0.811	0.402	0
Fos	0	1.04148943955947	0.921	0.846	0
Gadd45g	0	1.04138718043558	0.647	0.279	0
Rbp1	0	1.02464847507351	0.479	0.123	0
mt-Cytb	0	1.02054635312724	1	0.998	0
Tubb2b	0	1.0080070261835	0.441	0.105	0
1700007K13Rik	0	1.00418282202215	0.453	0.011	0
Car2	2.30694242289731e-210	1.20701368267826	0.229	0.133	4.89625459835724e-206
Mag	7.41288108820042e-174	1.15918298130847	0.16	0.087	1.57330988215966e-169
Apod	2.58912778576262e-64	1.52276336915181	0.231	0.177	5.49516481250259e-60
