	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Ly6c1	0	3.30930482944357	0.935	0.164	0
Cldn5	0	3.22388657648993	0.92	0.126	0
Ly6a	0	3.14396444290846	0.942	0.172	0
Igfbp7	0	3.03714864292331	0.927	0.126	0
Itm2a	0	2.85645153249204	0.853	0.12	0
Ctla2a	0	2.84764829162679	0.865	0.251	0
Flt1	0	2.78381187406343	0.905	0.097	0
Bsg	0	2.49096004499897	0.994	0.938	0
Slc2a1	0	2.24739632073181	0.918	0.359	0
Slco1a4	0	2.22102869008986	0.785	0.045	0
Pglyrp1	0	2.16907690288645	0.872	0.08	0
Cxcl12	0	2.07332680188574	0.725	0.033	0
Mgp	0	2.03403914246191	0.272	0.074	0
Egfl7	0	1.99373032854283	0.878	0.062	0
Sptbn1	0	1.95570776481904	0.917	0.256	0
Spock2	0	1.95465586810014	0.725	0.079	0
Id3	0	1.93883404630936	0.922	0.166	0
Esam	0	1.93396651610577	0.896	0.043	0
Tmem252	0	1.91532645873201	0.693	0.038	0
Ramp2	0	1.85423617338332	0.869	0.072	0
Id1	0	1.8472849637381	0.831	0.134	0
Akap12	0	1.81835512815329	0.625	0.072	0
Car4	0	1.80622623433148	0.72	0.035	0
Vtn	0	1.80031879896114	0.202	0.034	0
Pltp	0	1.7960096824037	0.783	0.241	0
Rgs5	0	1.79592750973016	0.352	0.029	0
Abcb1a	0	1.70229303323803	0.789	0.026	0
Vwa1	0	1.68647098329525	0.835	0.059	0
Slco1c1	0	1.67877982146532	0.674	0.029	0
Hspa1a	0	1.67613885017489	0.893	0.379	0
Epas1	0	1.66052726042579	0.842	0.092	0
Cd200	0	1.65331454148014	0.815	0.119	0
Col4a1	0	1.65295714202757	0.717	0.067	0
Apold1	0	1.65032054601989	0.696	0.025	0
Adgrf5	0	1.6308404511288	0.791	0.027	0
Ptn	0	1.6086430066817	0.721	0.154	0
Ptprb	0	1.59027157640697	0.716	0.021	0
Adgrl4	0	1.58489920023394	0.768	0.024	0
Emcn	0	1.58275753987162	0.821	0.023	0
Abcg2	0	1.57188734417896	0.826	0.125	0
Tsc22d1	0	1.55983404672322	0.874	0.333	0
Pecam1	0	1.53042380087125	0.78	0.048	0
Klf2	0	1.51495829525958	0.902	0.469	0
Slc9a3r2	0	1.50527181077817	0.801	0.043	0
Jcad	0	1.49337073126448	0.716	0.03	0
Timp3	0	1.48691934427804	0.793	0.158	0
Col4a2	0	1.47121022424658	0.688	0.038	0
Plat	0	1.43990238174721	0.72	0.134	0
Cdh5	0	1.43784306240929	0.744	0.021	0
Klf4	0	1.433206321738	0.792	0.362	0
Eng	0	1.40980657521786	0.806	0.091	0
Gng11	0	1.39566825219307	0.893	0.156	0
Itih5	0	1.38790765776273	0.609	0.031	0
Crip2	0	1.35831671009386	0.913	0.213	0
Ablim1	0	1.3399614517809	0.666	0.079	0
Sgms1	0	1.32073751048958	0.769	0.152	0
Arl4a	0	1.31943706421743	0.801	0.205	0
Tinagl1	0	1.29103452289307	0.706	0.025	0
Cyyr1	0	1.28120397111584	0.678	0.015	0
S1pr1	0	1.26974826041791	0.745	0.144	0
Serpinh1	0	1.26728738970755	0.751	0.13	0
Hspa1b	0	1.25762088278184	0.632	0.167	0
ENSMUSG00000098178	0	1.25758356909383	0.718	0.466	0
Clic4	0	1.2276119697165	0.803	0.347	0
Ahnak	0	1.20968422595428	0.795	0.296	0
Igf1r	0	1.19516876925088	0.701	0.166	0
Ccdc141	0	1.19176804804965	0.633	0.032	0
Tspan13	0	1.19114351056708	0.721	0.237	0
Slc6a6	0	1.18943025948325	0.704	0.468	0
Cd34	0	1.18470706613329	0.811	0.227	0
Srarp	0	1.18214848367105	0.622	0.01	0
Ece1	0	1.16960800178456	0.691	0.069	0
Podxl	0	1.16798673073456	0.647	0.036	0
Sema3c	0	1.16748150014604	0.609	0.024	0
Cd93	0	1.15589173110256	0.684	0.187	0
Rasip1	0	1.15167309507384	0.625	0.031	0
Cavin2	0	1.13911832034862	0.619	0.035	0
Sparc	0	1.13853870257652	0.996	0.696	0
Tpm4	0	1.13175061140055	0.911	0.543	0
Abhd2	0	1.12190201248671	0.713	0.165	0
Mal	0	1.11736216129575	0.733	0.067	0
Slc7a5	0	1.11638601646528	0.624	0.119	0
Rhoc	0	1.10343967153955	0.785	0.349	0
Lcn2	0	1.09956277359439	0.315	0.118	0
Pcp4l1	0	1.09797835287026	0.805	0.156	0
Fermt2	0	1.09577318801466	0.789	0.161	0
Slc39a10	0	1.08231254319881	0.651	0.151	0
Acvrl1	0	1.07753484258783	0.735	0.117	0
Adamts1	0	1.06687747019139	0.659	0.264	0
Wfdc1	0	1.0635934685429	0.668	0.014	0
Kdr	0	1.06262870019578	0.615	0.031	0
Ifitm3	0	1.05994794321461	0.993	0.682	0
Sema7a	0	1.05274334467733	0.632	0.034	0
Sparcl1	0	1.04259033419862	0.737	0.246	0
Ndrg1	0	1.04127033225955	0.719	0.132	0
Dusp1	0	1.04076008333648	0.908	0.66	0
Foxq1	0	1.03880830630358	0.532	0.008	0
Depp1	0	1.03218815744125	0.423	0.014	0
Gpcpd1	0	1.02690273876556	0.674	0.226	0
Paqr5	0	1.02650889844457	0.652	0.013	0
Palmd	0	1.02582469064654	0.613	0.026	0
Utrn	0	1.023303410955	0.63	0.083	0
Lsr	0	1.01417245303097	0.679	0.039	0
Col1a2	1.96061058249097e-178	1.04456228356146	0.105	0.045	4.16119990027883e-174
