"","Discard","Retain","Knee","Inflection"
"raw_feature_bc_matrix_1dpi_sample1",475,8155,3853,1208
"raw_feature_bc_matrix_1dpi_sample2",45,5690,3027,1962
"raw_feature_bc_matrix_1dpi_sample3",372,9777,13004,1328
"raw_feature_bc_matrix_3dpi_sample1",593,12419,5170,1115
"raw_feature_bc_matrix_3dpi_sample2",53,9218,5311,2184
"raw_feature_bc_matrix_7dpi_sample1",842,9944,3076,1131
"raw_feature_bc_matrix_7dpi_sample2",146,8566,4832,1639
"raw_feature_bc_matrix_uninj_sample1",97,3193,2335,1023
"raw_feature_bc_matrix_uninj_sample2",59,1272,3462,1753
"raw_feature_bc_matrix_uninj_sample3",794,11873,5929,1150
