	low	high	fail	pass
filtered_feature_bc_matrix_1dpi_sample1	0.0501537486218774	0.627634078600647	197	7958
filtered_feature_bc_matrix_1dpi_sample2	0.0565100000335706	0.540323395536015	212	5478
filtered_feature_bc_matrix_1dpi_sample3	0.0155776094777223	0.753577840225585	515	9262
filtered_feature_bc_matrix_3dpi_sample1	0.0637553979482829	0.424326241934976	121	12298
filtered_feature_bc_matrix_3dpi_sample2	0.0700766145879771	0.491170258074735	424	8794
filtered_feature_bc_matrix_7dpi_sample1	0.0544990219509621	0.509332856977689	227	9717
filtered_feature_bc_matrix_7dpi_sample2	0.0815976704162953	0.471574817954375	454	8112
filtered_feature_bc_matrix_uninj_sample1	0.046908325880178	0.237857113784723	152	3041
filtered_feature_bc_matrix_uninj_sample2	0.0522487438614118	0.229490952618726	83	1189
filtered_feature_bc_matrix_uninj_sample3	0.0216918146069194	0.308582436107072	1270	10603
