"Pair_name","Score","pval","adj_pval","Ligand_cell","Receptor_cell","split.by","Ligand","Receptor","Ligand_avgExp","Receptor_avgExp","Ligand_pct","Receptor_pct","Cell_pair","LR_pair","Ligand_cell_pct","Receptor_cell_pct"
"Clcf1_Cntfr",0.059239809220918,0.002,1,"Monocyte","Pericyte","1dpi","Clcf1","Cntfr",0.104420578340838,0.0140590401009979,0.091,0.01,"Monocyte_Pericyte","Clcf1_Cntfr",57.4,44
"Clcf1_Cntfr",0.0469630928377868,0.131,1,"Macrophage-A","Pericyte","1dpi","Clcf1","Cntfr",0.0798671455745757,0.0140590401009979,0.073,0.01,"Macrophage-A_Pericyte","Clcf1_Cntfr",22.5,44
"Clcf1_Cntfr",0.00702952005049893,0.997,1,"Macrophage-B","Pericyte","1dpi","Clcf1","Cntfr",0,0.0140590401009979,0,0.01,"Macrophage-B_Pericyte","Clcf1_Cntfr",1.7,44
"Clcf1_Cntfr",0.025345108873705,0.996,1,"H-Microglia","Pericyte","1dpi","Clcf1","Cntfr",0.0366311776464122,0.0140590401009979,0.06,0.01,"H-Microglia_Pericyte","Clcf1_Cntfr",17.3,44
"Clcf1_Cntfr",0.0479919090375798,0.097,1,"DAM-A","Pericyte","1dpi","Clcf1","Cntfr",0.0819247779741617,0.0140590401009979,0.114,0.01,"DAM-A_Pericyte","Clcf1_Cntfr",22.4,44
"Clcf1_Cntfr",0.024708633093329,0.995,1,"DAM-B","Pericyte","1dpi","Clcf1","Cntfr",0.0353582260856601,0.0140590401009979,0.06,0.01,"DAM-B_Pericyte","Clcf1_Cntfr",42.6,44
"Clcf1_Cntfr",0.0351488325954434,0.712,1,"DAM-C","Pericyte","1dpi","Clcf1","Cntfr",0.056238625089889,0.0140590401009979,0.09,0.01,"DAM-C_Pericyte","Clcf1_Cntfr",42.1,44
"Clcf1_Cntfr",0.0389976979762472,0.509,1,"Fibroblast","Pericyte","1dpi","Clcf1","Cntfr",0.0639363558514965,0.0140590401009979,0.095,0.01,"Fibroblast_Pericyte","Clcf1_Cntfr",40,44
"Clcf1_Cntfr",0.203941509437418,0,0.784,"Astroependymal","Pericyte","1dpi","Clcf1","Cntfr",0.393823978773839,0.0140590401009979,0.448,0.01,"Astroependymal_Pericyte","Clcf1_Cntfr",79.7,44
"Clcf1_Cntfr",0.0220603654698861,0.99,1,"OPC-A","Pericyte","1dpi","Clcf1","Cntfr",0.0300616908387744,0.0140590401009979,0.048,0.01,"OPC-A_Pericyte","Clcf1_Cntfr",28.4,44
"Clcf1_Cntfr",0.13455228913417,0,0.929,"OPC-B","Pericyte","1dpi","Clcf1","Cntfr",0.255045538167343,0.0140590401009979,0.382,0.01,"OPC-B_Pericyte","Clcf1_Cntfr",69.8,44
"Clcf1_Cntfr",0.0704350062983114,0,1,"Monocyte","Fibroblast","1dpi","Clcf1","Cntfr",0.104420578340838,0.0364494342557845,0.091,0.036,"Monocyte_Fibroblast","Clcf1_Cntfr",57.4,40
"Clcf1_Cntfr",0.0581582899151801,0.001,1,"Macrophage-A","Fibroblast","1dpi","Clcf1","Cntfr",0.0798671455745757,0.0364494342557845,0.073,0.036,"Macrophage-A_Fibroblast","Clcf1_Cntfr",22.5,40
"Clcf1_Cntfr",0.0182247171278923,0.922,1,"Macrophage-B","Fibroblast","1dpi","Clcf1","Cntfr",0,0.0364494342557845,0,0.036,"Macrophage-B_Fibroblast","Clcf1_Cntfr",1.7,40
"Clcf1_Cntfr",0.0365403059510984,0.721,1,"H-Microglia","Fibroblast","1dpi","Clcf1","Cntfr",0.0366311776464122,0.0364494342557845,0.06,0.036,"H-Microglia_Fibroblast","Clcf1_Cntfr",17.3,40
"Clcf1_Cntfr",0.0591871061149731,0,1,"DAM-A","Fibroblast","1dpi","Clcf1","Cntfr",0.0819247779741617,0.0364494342557845,0.114,0.036,"DAM-A_Fibroblast","Clcf1_Cntfr",22.4,40
"Clcf1_Cntfr",0.0359038301707223,0.754,1,"DAM-B","Fibroblast","1dpi","Clcf1","Cntfr",0.0353582260856601,0.0364494342557845,0.06,0.036,"DAM-B_Fibroblast","Clcf1_Cntfr",42.6,40
"Clcf1_Cntfr",0.0463440296728367,0.148,1,"DAM-C","Fibroblast","1dpi","Clcf1","Cntfr",0.056238625089889,0.0364494342557845,0.09,0.036,"DAM-C_Fibroblast","Clcf1_Cntfr",42.1,40
"Clcf1_Cntfr",0.0501928950536405,0.087,1,"Fibroblast","Fibroblast","1dpi","Clcf1","Cntfr",0.0639363558514965,0.0364494342557845,0.095,0.036,"Fibroblast_Fibroblast","Clcf1_Cntfr",40,40
"Clcf1_Cntfr",0.215136706514812,0,0.762,"Astroependymal","Fibroblast","1dpi","Clcf1","Cntfr",0.393823978773839,0.0364494342557845,0.448,0.036,"Astroependymal_Fibroblast","Clcf1_Cntfr",79.7,40
"Clcf1_Cntfr",0.0332555625472795,0.84,1,"OPC-A","Fibroblast","1dpi","Clcf1","Cntfr",0.0300616908387744,0.0364494342557845,0.048,0.036,"OPC-A_Fibroblast","Clcf1_Cntfr",28.4,40
"Clcf1_Cntfr",0.145747486211564,0,0.908,"OPC-B","Fibroblast","1dpi","Clcf1","Cntfr",0.255045538167343,0.0364494342557845,0.382,0.036,"OPC-B_Fibroblast","Clcf1_Cntfr",69.8,40
"Clcf1_Cntfr",0.0578904824620442,0,1,"Monocyte","Astroependymal","1dpi","Clcf1","Cntfr",0.104420578340838,0.0113603865832503,0.091,0.019,"Monocyte_Astroependymal","Clcf1_Cntfr",57.4,79.7
"Clcf1_Cntfr",0.045613766078913,0.071,1,"Macrophage-A","Astroependymal","1dpi","Clcf1","Cntfr",0.0798671455745757,0.0113603865832503,0.073,0.019,"Macrophage-A_Astroependymal","Clcf1_Cntfr",22.5,79.7
"Clcf1_Cntfr",0.00568019329162514,1,1,"Macrophage-B","Astroependymal","1dpi","Clcf1","Cntfr",0,0.0113603865832503,0,0.019,"Macrophage-B_Astroependymal","Clcf1_Cntfr",1.7,79.7
"Clcf1_Cntfr",0.0239957821148312,1,1,"H-Microglia","Astroependymal","1dpi","Clcf1","Cntfr",0.0366311776464122,0.0113603865832503,0.06,0.019,"H-Microglia_Astroependymal","Clcf1_Cntfr",17.3,79.7
"Clcf1_Cntfr",0.046642582278706,0.039,1,"DAM-A","Astroependymal","1dpi","Clcf1","Cntfr",0.0819247779741617,0.0113603865832503,0.114,0.019,"DAM-A_Astroependymal","Clcf1_Cntfr",22.4,79.7
"Clcf1_Cntfr",0.0233593063344552,1,1,"DAM-B","Astroependymal","1dpi","Clcf1","Cntfr",0.0353582260856601,0.0113603865832503,0.06,0.019,"DAM-B_Astroependymal","Clcf1_Cntfr",42.6,79.7
"Clcf1_Cntfr",0.0337995058365696,0.882,1,"DAM-C","Astroependymal","1dpi","Clcf1","Cntfr",0.056238625089889,0.0113603865832503,0.09,0.019,"DAM-C_Astroependymal","Clcf1_Cntfr",42.1,79.7
"Clcf1_Cntfr",0.0376483712173734,0.622,1,"Fibroblast","Astroependymal","1dpi","Clcf1","Cntfr",0.0639363558514965,0.0113603865832503,0.095,0.019,"Fibroblast_Astroependymal","Clcf1_Cntfr",40,79.7
"Clcf1_Cntfr",0.202592182678545,0,0.785,"Astroependymal","Astroependymal","1dpi","Clcf1","Cntfr",0.393823978773839,0.0113603865832503,0.448,0.019,"Astroependymal_Astroependymal","Clcf1_Cntfr",79.7,79.7
