""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Jun"	0	1.2343201549471	0.899	0.757	0	"Homeostatic Microglia"	"Jun"
"P2ry12"	0	1.16742046731535	0.878	0.642	0	"Homeostatic Microglia"	"P2ry12"
"Siglech"	0	0.945405314008677	0.75	0.411	0	"Homeostatic Microglia"	"Siglech"
"Selplg"	0	0.922522826152341	0.929	0.82	0	"Homeostatic Microglia"	"Selplg"
"Btg2"	0	0.900527453344298	0.856	0.743	0	"Homeostatic Microglia"	"Btg2"
"Fos"	0	0.841403783633951	0.852	0.796	0	"Homeostatic Microglia"	"Fos"
"Tmem119"	0	0.831351541059884	0.894	0.72	0	"Homeostatic Microglia"	"Tmem119"
"Cst3"	0	0.820356844768911	0.999	0.998	0	"Homeostatic Microglia"	"Cst3"
"Crybb1"	0	0.772137897350317	0.544	0.262	0	"Homeostatic Microglia"	"Crybb1"
"Serinc3"	0	0.753352402310267	0.945	0.88	0	"Homeostatic Microglia"	"Serinc3"
"Gpr34"	0	0.717275122746987	0.842	0.716	0	"Homeostatic Microglia"	"Gpr34"
"Rhob"	0	0.716724554883008	0.8	0.706	0	"Homeostatic Microglia"	"Rhob"
"Lpcat2"	0	0.639107797184996	0.848	0.7	0	"Homeostatic Microglia"	"Lpcat2"
"Sparc"	0	0.632745034514249	0.972	0.912	0	"Homeostatic Microglia"	"Sparc"
"Csf1r"	0	0.630738695886198	0.984	0.95	0	"Homeostatic Microglia"	"Csf1r"
"Lag3"	0	0.627052238019759	0.56	0.349	0	"Homeostatic Microglia"	"Lag3"
"Vsir"	0	0.620548007645226	0.86	0.787	0	"Homeostatic Microglia"	"Vsir"
"Cx3cr1"	0	0.603112679133995	0.957	0.879	0	"Homeostatic Microglia"	"Cx3cr1"
"Selenop"	0	0.586880756248795	0.95	0.901	0	"Homeostatic Microglia"	"Selenop"
"Zfp36"	0	0.586118860473793	0.833	0.771	0	"Homeostatic Microglia"	"Zfp36"
"Ubc"	0	0.580312463934559	0.938	0.94	0	"Homeostatic Microglia"	"Ubc"
"Ifngr1"	0	0.572707732832213	0.781	0.694	0	"Homeostatic Microglia"	"Ifngr1"
"Ppp1r15a"	0	0.56465231364059	0.752	0.667	0	"Homeostatic Microglia"	"Ppp1r15a"
"Junb"	0	0.537411588218522	0.959	0.949	0	"Homeostatic Microglia"	"Junb"
"Ighm"	0	0.534662672314367	0.494	0.26	0	"Homeostatic Microglia"	"Ighm"
"Slc2a5"	0	0.52881926374255	0.315	0.101	0	"Homeostatic Microglia"	"Slc2a5"
"Pld4"	0	0.525271576854293	0.867	0.75	0	"Homeostatic Microglia"	"Pld4"
"Adgrg1"	0	0.524443582850135	0.378	0.165	0	"Homeostatic Microglia"	"Adgrg1"
"Slco2b1"	0	0.520719709159412	0.611	0.463	0	"Homeostatic Microglia"	"Slco2b1"
"Glul"	0	0.518235804442327	0.917	0.881	0	"Homeostatic Microglia"	"Glul"
"Marcks"	0	0.493896575637386	0.912	0.886	0	"Homeostatic Microglia"	"Marcks"
"Ptgs1"	0	0.490984148653213	0.725	0.59	0	"Homeostatic Microglia"	"Ptgs1"
"Ctss"	0	0.472061400996755	0.998	0.988	0	"Homeostatic Microglia"	"Ctss"
"Cd81"	0	0.44564896876231	0.996	0.988	0	"Homeostatic Microglia"	"Cd81"
"Unc93b1"	0	0.439179880176654	0.913	0.885	0	"Homeostatic Microglia"	"Unc93b1"
"Malat1"	0	0.427225225175852	0.983	0.975	0	"Homeostatic Microglia"	"Malat1"
"Hexb"	0	0.413088794825883	0.999	0.988	0	"Homeostatic Microglia"	"Hexb"
"Rgs10"	0	0.380032594678787	0.961	0.951	0	"Homeostatic Microglia"	"Rgs10"
"Laptm5"	0	0.326605975761502	0.968	0.958	0	"Homeostatic Microglia"	"Laptm5"
"Egr1"	1.41344249542843e-302	0.954670017768341	0.691	0.569	4.6893781670829e-298	"Homeostatic Microglia"	"Egr1"
"Mef2c"	4.18948522907526e-300	0.424666077220969	0.841	0.804	1.3899455144503e-295	"Homeostatic Microglia"	"Mef2c"
"Hpgd"	7.08114698349362e-299	0.616308654666291	0.634	0.503	2.34931213471368e-294	"Homeostatic Microglia"	"Hpgd"
"Ier5"	2.64253695518338e-298	0.661087171855556	0.752	0.664	8.7671448562119e-294	"Homeostatic Microglia"	"Ier5"
"Man2b1"	9.89055705056602e-288	0.48089513286173	0.764	0.695	3.28139011266629e-283	"Homeostatic Microglia"	"Man2b1"
"P2ry13"	7.93061604870177e-276	0.568414706803569	0.523	0.358	2.63114048647779e-271	"Homeostatic Microglia"	"P2ry13"
"Fgd2"	1.82559468361449e-271	0.49710292302668	0.565	0.408	6.0567754818278e-267	"Homeostatic Microglia"	"Fgd2"
"Trf"	6.28587868336621e-264	0.320033393376843	0.941	0.913	2.08546597078041e-259	"Homeostatic Microglia"	"Trf"
"Klf2"	6.32354039573475e-257	0.933507737805665	0.644	0.505	2.09796099709292e-252	"Homeostatic Microglia"	"Klf2"
"Klf6"	1.45745170725751e-255	0.700507962433606	0.786	0.759	4.83538752916824e-251	"Homeostatic Microglia"	"Klf6"
"Zfhx3"	3.30591471487968e-254	0.531625593826677	0.638	0.548	1.09680332495563e-249	"Homeostatic Microglia"	"Zfhx3"
"Kctd12"	3.35749696753696e-250	0.440173297143127	0.789	0.748	1.11391676891974e-245	"Homeostatic Microglia"	"Kctd12"
"Fscn1"	4.57559359882295e-248	0.469209887031567	0.585	0.436	1.51804468828149e-243	"Homeostatic Microglia"	"Fscn1"
"Ltc4s"	4.72698229637282e-247	0.491215167180269	0.726	0.604	1.56827091646761e-242	"Homeostatic Microglia"	"Ltc4s"
"Ddx5"	8.61743897807067e-243	0.45470271751127	0.938	0.952	2.85900772975451e-238	"Homeostatic Microglia"	"Ddx5"
"Ier2"	2.05510054607999e-242	0.554236935753196	0.784	0.769	6.81820708172958e-238	"Homeostatic Microglia"	"Ier2"
"Atf3"	5.08114938003321e-239	0.78804574699175	0.763	0.741	1.68577292981362e-234	"Homeostatic Microglia"	"Atf3"
"Tgfbr1"	2.0626457461206e-233	0.495071476563402	0.704	0.646	6.84323979190432e-229	"Homeostatic Microglia"	"Tgfbr1"
"Itm2b"	2.22155630499195e-231	0.299516662504076	0.989	0.982	7.37045735307179e-227	"Homeostatic Microglia"	"Itm2b"
"Txnip"	2.97879557113578e-231	0.65410699886694	0.486	0.337	9.88275006635717e-227	"Homeostatic Microglia"	"Txnip"
"Cfh"	2.27959861645504e-230	0.441355958208455	0.637	0.547	7.56302432981289e-226	"Homeostatic Microglia"	"Cfh"
"Adrb2"	4.85181424524778e-228	0.60735485635133	0.481	0.323	1.60968641214586e-223	"Homeostatic Microglia"	"Adrb2"
"Xist"	2.44581023850855e-226	0.307344890486627	0.922	0.917	8.11446462829981e-222	"Homeostatic Microglia"	"Xist"
"Ccr5"	3.22798845722551e-225	0.500216879153332	0.56	0.427	1.07094973045371e-220	"Homeostatic Microglia"	"Ccr5"
"Otulinl"	1.04198968236107e-223	0.430614309926961	0.712	0.652	3.45700916916932e-219	"Homeostatic Microglia"	"Otulinl"
"Rgs2"	1.8064329545947e-215	0.622901656214982	0.635	0.526	5.99320261345882e-211	"Homeostatic Microglia"	"Rgs2"
"Lair1"	1.19451619293064e-211	0.37835439192358	0.79	0.767	3.963046373286e-207	"Homeostatic Microglia"	"Lair1"
"Ssh2"	2.10067637049203e-209	0.500067194441831	0.537	0.426	6.96941399438141e-205	"Homeostatic Microglia"	"Ssh2"
"Olfml3"	2.29754861659768e-209	0.344497927095197	0.947	0.892	7.62257704528611e-205	"Homeostatic Microglia"	"Olfml3"
"Ly6e"	3.68773830599686e-207	0.275061306166439	0.948	0.924	1.22348093778058e-202	"Homeostatic Microglia"	"Ly6e"
"Ldhb"	1.82405003689534e-202	0.352510031905884	0.857	0.838	6.05165080740768e-198	"Homeostatic Microglia"	"Ldhb"
"Tagap"	7.95228599288497e-199	0.514621605044401	0.456	0.31	2.63832992385945e-194	"Homeostatic Microglia"	"Tagap"
"Srgap2"	7.17248437895003e-197	0.465149226791961	0.537	0.433	2.37961514240425e-192	"Homeostatic Microglia"	"Srgap2"
"Hpgds"	3.03757291768226e-196	0.409310836660635	0.728	0.713	1.00777556689944e-191	"Homeostatic Microglia"	"Hpgds"
"Sall1"	1.13079988955314e-193	0.39409301516369	0.393	0.244	3.75165479357046e-189	"Homeostatic Microglia"	"Sall1"
"St3gal6"	1.25960908646767e-190	0.427920553084878	0.578	0.477	4.1790050661738e-186	"Homeostatic Microglia"	"St3gal6"
"Abi3"	5.06680881801064e-190	0.399439689327763	0.701	0.634	1.68101516155139e-185	"Homeostatic Microglia"	"Abi3"
"Tmem176b"	1.13213374064185e-189	0.33952358168725	0.823	0.754	3.75608011132745e-185	"Homeostatic Microglia"	"Tmem176b"
"Ckb"	5.74949240565484e-187	0.282823449683136	0.874	0.871	1.90750909542411e-182	"Homeostatic Microglia"	"Ckb"
"Rhoh"	8.96576547527959e-187	0.46325912862187	0.561	0.471	2.97457201173351e-182	"Homeostatic Microglia"	"Rhoh"
"Hspa1a"	2.79790884504941e-181	1.00217840020413	0.489	0.356	9.28262217522043e-177	"Homeostatic Microglia"	"Hspa1a"
"Herpud1"	1.09580594129947e-179	0.451808176869028	0.618	0.527	3.63555537144926e-175	"Homeostatic Microglia"	"Herpud1"
"Ppfia4"	5.10251520719438e-179	0.385091022459103	0.644	0.545	1.69286147029088e-174	"Homeostatic Microglia"	"Ppfia4"
"Arhgap5"	1.01223121851898e-178	0.48488797315264	0.504	0.393	3.35827951368044e-174	"Homeostatic Microglia"	"Arhgap5"
"Cmtm6"	1.21001942257608e-178	0.421886819987202	0.566	0.477	4.01448143828066e-174	"Homeostatic Microglia"	"Cmtm6"
"F11r"	2.77671140507482e-177	0.467222344073519	0.509	0.385	9.21229542861672e-173	"Homeostatic Microglia"	"F11r"
"Son"	1.6344641426103e-175	0.304963435061232	0.847	0.863	5.4226616859382e-171	"Homeostatic Microglia"	"Son"
"Frmd4a"	3.74012154424926e-173	0.437537910229945	0.49	0.377	1.24086012473558e-168	"Homeostatic Microglia"	"Frmd4a"
