"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","protein-containing complex binding","GO:0044877","0.000004621230862843989","5.3352423348886155","1451","38","15","21091","ENSMUSG00000027398,ENSMUSG00000002985,ENSMUSG00000020053,ENSMUSG00000089929,ENSMUSG00000099974,ENSMUSG00000025351,ENSMUSG00000021939,ENSMUSG00000102037,ENSMUSG00000027995,ENSMUSG00000029304,ENSMUSG00000030342,ENSMUSG00000015568,ENSMUSG00000023067,ENSMUSG00000024014,ENSMUSG00000017466"
"GO:MF","signaling receptor binding","GO:0005102","0.0000700878548770726","4.154357231916967","1780","38","15","21091","ENSMUSG00000027398,ENSMUSG00000002985,ENSMUSG00000020053,ENSMUSG00000027995,ENSMUSG00000018920,ENSMUSG00000029304,ENSMUSG00000030579,ENSMUSG00000030342,ENSMUSG00000058427,ENSMUSG00000027712,ENSMUSG00000046223,ENSMUSG00000015568,ENSMUSG00000027399,ENSMUSG00000035678,ENSMUSG00000017466"
"GO:MF","peptide binding","GO:0042277","0.00030048646634171214","3.5221750834797887","290","38","7","21091","ENSMUSG00000002985,ENSMUSG00000051439,ENSMUSG00000021939,ENSMUSG00000027995,ENSMUSG00000027712,ENSMUSG00000007891,ENSMUSG00000006360"
"GO:MF","BH domain binding","GO:0051400","0.0009597967683082489","3.01782071669601","15","38","3","21091","ENSMUSG00000089929,ENSMUSG00000099974,ENSMUSG00000102037"
"GO:MF","molecular function regulator","GO:0098772","0.0012432073552433604","2.9054564290996643","2227","38","15","21091","ENSMUSG00000027398,ENSMUSG00000002985,ENSMUSG00000020053,ENSMUSG00000099974,ENSMUSG00000018920,ENSMUSG00000029304,ENSMUSG00000068129,ENSMUSG00000040564,ENSMUSG00000058427,ENSMUSG00000069792,ENSMUSG00000023067,ENSMUSG00000024014,ENSMUSG00000027399,ENSMUSG00000035678,ENSMUSG00000017466"
"GO:MF","amide binding","GO:0033218","0.0014616046728782653","2.8351700771757695","368","38","7","21091","ENSMUSG00000002985,ENSMUSG00000051439,ENSMUSG00000021939,ENSMUSG00000027995,ENSMUSG00000027712,ENSMUSG00000007891,ENSMUSG00000006360"
"GO:MF","integrin binding","GO:0005178","0.001501651980465764","2.8234307067967235","132","38","5","21091","ENSMUSG00000027398,ENSMUSG00000020053,ENSMUSG00000029304,ENSMUSG00000030342,ENSMUSG00000017466"
"GO:MF","cytokine activity","GO:0005125","0.0021306120687354384","2.671495617270453","251","38","6","21091","ENSMUSG00000027398,ENSMUSG00000018920,ENSMUSG00000029304,ENSMUSG00000058427,ENSMUSG00000027399,ENSMUSG00000035678"
"GO:MF","lipopeptide binding","GO:0071723","0.012500506696392718","1.9030723829129494","5","38","2","21091","ENSMUSG00000051439,ENSMUSG00000027995"
"GO:MF","receptor ligand activity","GO:0048018","0.014063956986882968","1.8518924705117668","522","38","7","21091","ENSMUSG00000027398,ENSMUSG00000020053,ENSMUSG00000018920,ENSMUSG00000029304,ENSMUSG00000058427,ENSMUSG00000027399,ENSMUSG00000035678"
"GO:MF","signaling receptor activator activity","GO:0030546","0.014942764337698701","1.8255690527511996","527","38","7","21091","ENSMUSG00000027398,ENSMUSG00000020053,ENSMUSG00000018920,ENSMUSG00000029304,ENSMUSG00000058427,ENSMUSG00000027399,ENSMUSG00000035678"
"GO:MF","proteoglycan binding","GO:0043394","0.01871104053375158","1.7279020604154827","39","38","3","21091","ENSMUSG00000002985,ENSMUSG00000021939,ENSMUSG00000015568"
"GO:MF","receptor regulator activity","GO:0030545","0.022958603158128758","1.639054538711823","564","38","7","21091","ENSMUSG00000027398,ENSMUSG00000020053,ENSMUSG00000018920,ENSMUSG00000029304,ENSMUSG00000058427,ENSMUSG00000027399,ENSMUSG00000035678"
"GO:MF","enzyme inhibitor activity","GO:0004857","0.025545590548787914","1.5926840530868118","390","38","6","21091","ENSMUSG00000099974,ENSMUSG00000068129,ENSMUSG00000040564,ENSMUSG00000069792,ENSMUSG00000023067,ENSMUSG00000017466"
"GO:MF","cell adhesion molecule binding","GO:0050839","0.049187519065751764","1.3081450819583762","273","38","5","21091","ENSMUSG00000027398,ENSMUSG00000020053,ENSMUSG00000029304,ENSMUSG00000030342,ENSMUSG00000017466"
"GO:BP","response to stress","GO:0006950","0.0000015589785987301004","5.807159846656712","3858","43","26","21354","ENSMUSG00000027398,ENSMUSG00000002985,ENSMUSG00000020053,ENSMUSG00000051439,ENSMUSG00000089929,ENSMUSG00000099974,ENSMUSG00000102037,ENSMUSG00000027995,ENSMUSG00000018920,ENSMUSG00000029304,ENSMUSG00000030579,ENSMUSG00000031504,ENSMUSG00000068129,ENSMUSG00000030342,ENSMUSG00000058427,ENSMUSG00000027712,ENSMUSG00000015568,ENSMUSG00000003363,ENSMUSG00000069516,ENSMUSG00000006360,ENSMUSG00000069792,ENSMUSG00000015312,ENSMUSG00000023067,ENSMUSG00000017009,ENSMUSG00000032487,ENSMUSG00000027399"
"GO:BP","response to external stimulus","GO:0009605","0.000001847029089770856","5.733526264588196","2947","43","23","21354","ENSMUSG00000027398,ENSMUSG00000002985,ENSMUSG00000020053,ENSMUSG00000051439,ENSMUSG00000025351,ENSMUSG00000027995,ENSMUSG00000018920,ENSMUSG00000029304,ENSMUSG00000031504,ENSMUSG00000068129,ENSMUSG00000030342,ENSMUSG00000058427,ENSMUSG00000027712,ENSMUSG00000015568,ENSMUSG00000003363,ENSMUSG00000069516,ENSMUSG00000000682,ENSMUSG00000069792,ENSMUSG00000023067,ENSMUSG00000072620,ENSMUSG00000024014,ENSMUSG00000032487,ENSMUSG00000027399"
"GO:BP","immune system process","GO:0002376","0.000003999365801959832","5.39800887130857","2771","43","22","21354","ENSMUSG00000027398,ENSMUSG00000002985,ENSMUSG00000020053,ENSMUSG00000051439,ENSMUSG00000099974,ENSMUSG00000102037,ENSMUSG00000027995,ENSMUSG00000018920,ENSMUSG00000029304,ENSMUSG00000030579,ENSMUSG00000015396,ENSMUSG00000031504,ENSMUSG00000068129,ENSMUSG00000030342,ENSMUSG00000058427,ENSMUSG00000003363,ENSMUSG00000069792,ENSMUSG00000023067,ENSMUSG00000017009,ENSMUSG00000024014,ENSMUSG00000027399,ENSMUSG00000035678"
"GO:BP","negative regulation of cell population proliferation","GO:0008285","0.000017916105578028754","4.746756386960762","701","43","12","21354","ENSMUSG00000027398,ENSMUSG00000002985,ENSMUSG00000020053,ENSMUSG00000027995,ENSMUSG00000030579,ENSMUSG00000030342,ENSMUSG00000023067,ENSMUSG00000017009,ENSMUSG00000072620,ENSMUSG00000032487,ENSMUSG00000027399,ENSMUSG00000017466"
"GO:BP","cell death","GO:0008219","0.00001894665322428621","4.722467493589867","2170","43","19","21354","ENSMUSG00000027398,ENSMUSG00000002985,ENSMUSG00000020053,ENSMUSG00000089929,ENSMUSG00000099974,ENSMUSG00000021939,ENSMUSG00000102037,ENSMUSG00000029304,ENSMUSG00000030579,ENSMUSG00000058427,ENSMUSG00000027712,ENSMUSG00000046223,ENSMUSG00000007891,ENSMUSG00000006360,ENSMUSG00000015312,ENSMUSG00000023067,ENSMUSG00000024014,ENSMUSG00000032487,ENSMUSG00000027399"
"GO:BP","extrinsic apoptotic signaling pathway in absence of ligand","GO:0097192","0.00002406772101073642","4.618565031425019","79","43","6","21354","ENSMUSG00000027398,ENSMUSG00000020053,ENSMUSG00000089929,ENSMUSG00000099974,ENSMUSG00000102037,ENSMUSG00000027399"
"GO:BP","signal transduction in absence of ligand","GO:0038034","0.00002406772101073642","4.618565031425019","79","43","6","21354","ENSMUSG00000027398,ENSMUSG00000020053,ENSMUSG00000089929,ENSMUSG00000099974,ENSMUSG00000102037,ENSMUSG00000027399"
"GO:BP","apoptotic signaling pathway","GO:0097190","0.0000416645829092264","4.380232961399304","600","43","11","21354","ENSMUSG00000027398,ENSMUSG00000020053,ENSMUSG00000089929,ENSMUSG00000099974,ENSMUSG00000102037,ENSMUSG00000030579,ENSMUSG00000046223,ENSMUSG00000006360,ENSMUSG00000023067,ENSMUSG00000032487,ENSMUSG00000027399"
"GO:BP","positive regulation of interleukin-6 production","GO:0032755","0.00009417775338244728","4.0260516738980066","99","43","6","21354","ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000030579,ENSMUSG00000015568,ENSMUSG00000027399,ENSMUSG00000035678"
"GO:BP","negative regulation of catalytic activity","GO:0043086","0.00010256373368500373","3.9890061776723775","821","43","12","21354","ENSMUSG00000027398,ENSMUSG00000002985,ENSMUSG00000020053,ENSMUSG00000099974,ENSMUSG00000068129,ENSMUSG00000040564,ENSMUSG00000046223,ENSMUSG00000069792,ENSMUSG00000015312,ENSMUSG00000023067,ENSMUSG00000032487,ENSMUSG00000017466"
"GO:BP","regulation of cytokine production","GO:0001817","0.00014477492536509073","3.8393066502836413","678","43","11","21354","ENSMUSG00000027398,ENSMUSG00000020053,ENSMUSG00000051439,ENSMUSG00000027995,ENSMUSG00000030579,ENSMUSG00000015396,ENSMUSG00000015568,ENSMUSG00000003363,ENSMUSG00000032487,ENSMUSG00000027399,ENSMUSG00000035678"
"GO:BP","response to temperature stimulus","GO:0009266","0.00017498866199765648","3.7569900895501114","186","43","7","21354","ENSMUSG00000020053,ENSMUSG00000051439,ENSMUSG00000058427,ENSMUSG00000015568,ENSMUSG00000023067,ENSMUSG00000032487,ENSMUSG00000027399"
"GO:BP","apoptotic process","GO:0006915","0.00017849927116402752","3.7483635528295878","1954","43","17","21354","ENSMUSG00000027398,ENSMUSG00000002985,ENSMUSG00000020053,ENSMUSG00000089929,ENSMUSG00000099974,ENSMUSG00000102037,ENSMUSG00000029304,ENSMUSG00000030579,ENSMUSG00000027712,ENSMUSG00000046223,ENSMUSG00000007891,ENSMUSG00000006360,ENSMUSG00000015312,ENSMUSG00000023067,ENSMUSG00000024014,ENSMUSG00000032487,ENSMUSG00000027399"
"GO:BP","response to heat","GO:0009408","0.00020797316724604007","3.681992694213699","113","43","6","21354","ENSMUSG00000020053,ENSMUSG00000051439,ENSMUSG00000058427,ENSMUSG00000023067,ENSMUSG00000032487,ENSMUSG00000027399"
"GO:BP","regulation of cell activation","GO:0050865","0.0002210670662150098","3.655475952249141","707","43","11","21354","ENSMUSG00000027398,ENSMUSG00000002985,ENSMUSG00000020053,ENSMUSG00000030579,ENSMUSG00000015396,ENSMUSG00000068129,ENSMUSG00000030342,ENSMUSG00000023067,ENSMUSG00000017009,ENSMUSG00000027399,ENSMUSG00000035678"
"GO:BP","positive regulation of cytokine production","GO:0001819","0.00025754817732571815","3.5891415192844076","419","43","9","21354","ENSMUSG00000027398,ENSMUSG00000051439,ENSMUSG00000027995,ENSMUSG00000030579,ENSMUSG00000015396,ENSMUSG00000015568,ENSMUSG00000032487,ENSMUSG00000027399,ENSMUSG00000035678"
