"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","RNA binding","GO:0003723","2.4681664213804466e-20","19.607625560420615","1282","355","77","21091","ENSMUSG00000023004,ENSMUSG00000029430,ENSMUSG00000078812,ENSMUSG00000036752,ENSMUSG00000002477,ENSMUSG00000066551,ENSMUSG00000007050,ENSMUSG00000036781,ENSMUSG00000091625,ENSMUSG00000090553,ENSMUSG00000057388,ENSMUSG00000025747,ENSMUSG00000005481,ENSMUSG00000024841,ENSMUSG00000029687,ENSMUSG00000044533,ENSMUSG00000025403,ENSMUSG00000027752,ENSMUSG00000022391,ENSMUSG00000030346,ENSMUSG00000027404,ENSMUSG00000032294,ENSMUSG00000025364,ENSMUSG00000062867,ENSMUSG00000036371,ENSMUSG00000031353,ENSMUSG00000030512,ENSMUSG00000031683,ENSMUSG00000001056,ENSMUSG00000031848,ENSMUSG00000034192,ENSMUSG00000031167,ENSMUSG00000027133,ENSMUSG00000078348,ENSMUSG00000063524,ENSMUSG00000071644,ENSMUSG00000025817,ENSMUSG00000056209,ENSMUSG00000020018,ENSMUSG00000042079,ENSMUSG00000020358,ENSMUSG00000028639,ENSMUSG00000029066,ENSMUSG00000020180,ENSMUSG00000025134,ENSMUSG00000063480,ENSMUSG00000059005,ENSMUSG00000061613,ENSMUSG00000057113,ENSMUSG00000025794,ENSMUSG00000067194,ENSMUSG00000021116,ENSMUSG00000061360,ENSMUSG00000028964,ENSMUSG00000046434,ENSMUSG00000025980,ENSMUSG00000027405,ENSMUSG00000024097,ENSMUSG00000026020,ENSMUSG00000035960,ENSMUSG00000071172,ENSMUSG00000026374,ENSMUSG00000035215,ENSMUSG00000038900,ENSMUSG00000057278,ENSMUSG00000030189,ENSMUSG00000018583,ENSMUSG00000021024,ENSMUSG00000068882,ENSMUSG00000026234,ENSMUSG00000070319,ENSMUSG00000030057,ENSMUSG00000023944,ENSMUSG00000021040,ENSMUSG00000028798,ENSMUSG00000022234,ENSMUSG00000074656"
"GO:MF","nucleic acid binding","GO:0003676","1.3293871727608601e-15","14.876348516043338","3673","355","130","21091","ENSMUSG00000023004,ENSMUSG00000037894,ENSMUSG00000054717,ENSMUSG00000029430,ENSMUSG00000020914,ENSMUSG00000029177,ENSMUSG00000003038,ENSMUSG00000028312,ENSMUSG00000037601,ENSMUSG00000078812,ENSMUSG00000036752,ENSMUSG00000002477,ENSMUSG00000066551,ENSMUSG00000034349,ENSMUSG00000032397,ENSMUSG00000056394,ENSMUSG00000040681,ENSMUSG00000005410,ENSMUSG00000007050,ENSMUSG00000031004,ENSMUSG00000036781,ENSMUSG00000027342,ENSMUSG00000049932,ENSMUSG00000024844,ENSMUSG00000026355,ENSMUSG00000019961,ENSMUSG00000021377,ENSMUSG00000027306,ENSMUSG00000026434,ENSMUSG00000041859,ENSMUSG00000091625,ENSMUSG00000090553,ENSMUSG00000057388,ENSMUSG00000025747,ENSMUSG00000029730,ENSMUSG00000005481,ENSMUSG00000024841,ENSMUSG00000024742,ENSMUSG00000002870,ENSMUSG00000029687,ENSMUSG00000023104,ENSMUSG00000044533,ENSMUSG00000028884,ENSMUSG00000025403,ENSMUSG00000027752,ENSMUSG00000022391,ENSMUSG00000028394,ENSMUSG00000031697,ENSMUSG00000001228,ENSMUSG00000030346,ENSMUSG00000022881,ENSMUSG00000075266,ENSMUSG00000029363,ENSMUSG00000029591,ENSMUSG00000022673,ENSMUSG00000020471,ENSMUSG00000027404,ENSMUSG00000032294,ENSMUSG00000025364,ENSMUSG00000062867,ENSMUSG00000036371,ENSMUSG00000031353,ENSMUSG00000030512,ENSMUSG00000027067,ENSMUSG00000031683,ENSMUSG00000001056,ENSMUSG00000031848,ENSMUSG00000054766,ENSMUSG00000034192,ENSMUSG00000031167,ENSMUSG00000027133,ENSMUSG00000078348,ENSMUSG00000063524,ENSMUSG00000071644,ENSMUSG00000025817,ENSMUSG00000033020,ENSMUSG00000056209,ENSMUSG00000024691,ENSMUSG00000020018,ENSMUSG00000042079,ENSMUSG00000020358,ENSMUSG00000067367,ENSMUSG00000028639,ENSMUSG00000029066,ENSMUSG00000021131,ENSMUSG00000032026,ENSMUSG00000078941,ENSMUSG00000004897,ENSMUSG00000020180,ENSMUSG00000041126,ENSMUSG00000025134,ENSMUSG00000063480,ENSMUSG00000109324,ENSMUSG00000059005,ENSMUSG00000061613,ENSMUSG00000057113,ENSMUSG00000025794,ENSMUSG00000067194,ENSMUSG00000021116,ENSMUSG00000025144,ENSMUSG00000061360,ENSMUSG00000030042,ENSMUSG00000028964,ENSMUSG00000046434,ENSMUSG00000025980,ENSMUSG00000027405,ENSMUSG00000024097,ENSMUSG00000026020,ENSMUSG00000035960,ENSMUSG00000071172,ENSMUSG00000026374,ENSMUSG00000035215,ENSMUSG00000038900,ENSMUSG00000030417,ENSMUSG00000057278,ENSMUSG00000030189,ENSMUSG00000018583,ENSMUSG00000021024,ENSMUSG00000068882,ENSMUSG00000015937,ENSMUSG00000026234,ENSMUSG00000070319,ENSMUSG00000030057,ENSMUSG00000023944,ENSMUSG00000021040,ENSMUSG00000028798,ENSMUSG00000022234,ENSMUSG00000074656,ENSMUSG00000043866,ENSMUSG00000020857"
"GO:MF","heterocyclic compound binding","GO:1901363","1.2263995218230787e-14","13.911368027486393","5801","355","172","21091","ENSMUSG00000023004,ENSMUSG00000037894,ENSMUSG00000054717,ENSMUSG00000001403,ENSMUSG00000001525,ENSMUSG00000029430,ENSMUSG00000020914,ENSMUSG00000019942,ENSMUSG00000029177,ENSMUSG00000022033,ENSMUSG00000003038,ENSMUSG00000028312,ENSMUSG00000037601,ENSMUSG00000078812,ENSMUSG00000036752,ENSMUSG00000002477,ENSMUSG00000066551,ENSMUSG00000034349,ENSMUSG00000032397,ENSMUSG00000020267,ENSMUSG00000057666,ENSMUSG00000056394,ENSMUSG00000040681,ENSMUSG00000005410,ENSMUSG00000007050,ENSMUSG00000042462,ENSMUSG00000031004,ENSMUSG00000036781,ENSMUSG00000027342,ENSMUSG00000026281,ENSMUSG00000025574,ENSMUSG00000063229,ENSMUSG00000049932,ENSMUSG00000024844,ENSMUSG00000026355,ENSMUSG00000019961,ENSMUSG00000021377,ENSMUSG00000027306,ENSMUSG00000053398,ENSMUSG00000026434,ENSMUSG00000027203,ENSMUSG00000041859,ENSMUSG00000091625,ENSMUSG00000006728,ENSMUSG00000090553,ENSMUSG00000057388,ENSMUSG00000025747,ENSMUSG00000029730,ENSMUSG00000005481,ENSMUSG00000024640,ENSMUSG00000024841,ENSMUSG00000024742,ENSMUSG00000002870,ENSMUSG00000030978,ENSMUSG00000029687,ENSMUSG00000045328,ENSMUSG00000023104,ENSMUSG00000044533,ENSMUSG00000028884,ENSMUSG00000025001,ENSMUSG00000025403,ENSMUSG00000027752,ENSMUSG00000020897,ENSMUSG00000022391,ENSMUSG00000028394,ENSMUSG00000031697,ENSMUSG00000001228,ENSMUSG00000030346,ENSMUSG00000022881,ENSMUSG00000075266,ENSMUSG00000029363,ENSMUSG00000022360,ENSMUSG00000029591,ENSMUSG00000035198,ENSMUSG00000030867,ENSMUSG00000022673,ENSMUSG00000020471,ENSMUSG00000027404,ENSMUSG00000032294,ENSMUSG00000025364,ENSMUSG00000063694,ENSMUSG00000062867,ENSMUSG00000060860,ENSMUSG00000036371,ENSMUSG00000031353,ENSMUSG00000030512,ENSMUSG00000027067,ENSMUSG00000031683,ENSMUSG00000001056,ENSMUSG00000025393,ENSMUSG00000031848,ENSMUSG00000054766,ENSMUSG00000034192,ENSMUSG00000031167,ENSMUSG00000027133,ENSMUSG00000018293,ENSMUSG00000078348,ENSMUSG00000063524,ENSMUSG00000071644,ENSMUSG00000025817,ENSMUSG00000033020,ENSMUSG00000056209,ENSMUSG00000024691,ENSMUSG00000020018,ENSMUSG00000042079,ENSMUSG00000020358,ENSMUSG00000028691,ENSMUSG00000067367,ENSMUSG00000028639,ENSMUSG00000029066,ENSMUSG00000021131,ENSMUSG00000032026,ENSMUSG00000078941,ENSMUSG00000004897,ENSMUSG00000020180,ENSMUSG00000041126,ENSMUSG00000068039,ENSMUSG00000025134,ENSMUSG00000029247,ENSMUSG00000022551,ENSMUSG00000063480,ENSMUSG00000109324,ENSMUSG00000059005,ENSMUSG00000061613,ENSMUSG00000057113,ENSMUSG00000025794,ENSMUSG00000067194,ENSMUSG00000021116,ENSMUSG00000006589,ENSMUSG00000025144,ENSMUSG00000061360,ENSMUSG00000030042,ENSMUSG00000028964,ENSMUSG00000046434,ENSMUSG00000025980,ENSMUSG00000027405,ENSMUSG00000024097,ENSMUSG00000030007,ENSMUSG00000026020,ENSMUSG00000030357,ENSMUSG00000035960,ENSMUSG00000026385,ENSMUSG00000043091,ENSMUSG00000071172,ENSMUSG00000026374,ENSMUSG00000035215,ENSMUSG00000032966,ENSMUSG00000008892,ENSMUSG00000025630,ENSMUSG00000038900,ENSMUSG00000030417,ENSMUSG00000001416,ENSMUSG00000057278,ENSMUSG00000030189,ENSMUSG00000018583,ENSMUSG00000021024,ENSMUSG00000025613,ENSMUSG00000068882,ENSMUSG00000015937,ENSMUSG00000021957,ENSMUSG00000026234,ENSMUSG00000070319,ENSMUSG00000030057,ENSMUSG00000023944,ENSMUSG00000021040,ENSMUSG00000028798,ENSMUSG00000022234,ENSMUSG00000074656,ENSMUSG00000034024,ENSMUSG00000073676,ENSMUSG00000043866,ENSMUSG00000020857"
"GO:MF","organic cyclic compound binding","GO:0097159","3.054666620549758e-14","13.515036180758933","5903","355","173","21091","ENSMUSG00000023004,ENSMUSG00000037894,ENSMUSG00000054717,ENSMUSG00000001403,ENSMUSG00000001525,ENSMUSG00000029430,ENSMUSG00000020914,ENSMUSG00000019942,ENSMUSG00000029177,ENSMUSG00000022033,ENSMUSG00000003038,ENSMUSG00000028312,ENSMUSG00000037601,ENSMUSG00000078812,ENSMUSG00000036752,ENSMUSG00000002477,ENSMUSG00000066551,ENSMUSG00000034349,ENSMUSG00000032397,ENSMUSG00000020267,ENSMUSG00000057666,ENSMUSG00000056394,ENSMUSG00000040681,ENSMUSG00000005410,ENSMUSG00000007050,ENSMUSG00000042462,ENSMUSG00000031004,ENSMUSG00000036781,ENSMUSG00000027342,ENSMUSG00000026281,ENSMUSG00000025574,ENSMUSG00000063229,ENSMUSG00000049932,ENSMUSG00000024844,ENSMUSG00000026355,ENSMUSG00000019961,ENSMUSG00000021377,ENSMUSG00000027306,ENSMUSG00000053398,ENSMUSG00000026434,ENSMUSG00000027203,ENSMUSG00000041859,ENSMUSG00000091625,ENSMUSG00000006728,ENSMUSG00000090553,ENSMUSG00000057388,ENSMUSG00000025747,ENSMUSG00000029730,ENSMUSG00000005481,ENSMUSG00000024640,ENSMUSG00000024841,ENSMUSG00000024742,ENSMUSG00000002870,ENSMUSG00000030978,ENSMUSG00000029687,ENSMUSG00000045328,ENSMUSG00000023104,ENSMUSG00000044533,ENSMUSG00000028884,ENSMUSG00000025001,ENSMUSG00000025403,ENSMUSG00000027752,ENSMUSG00000020897,ENSMUSG00000022391,ENSMUSG00000028394,ENSMUSG00000031697,ENSMUSG00000001228,ENSMUSG00000030346,ENSMUSG00000022881,ENSMUSG00000075266,ENSMUSG00000029363,ENSMUSG00000022360,ENSMUSG00000029591,ENSMUSG00000035198,ENSMUSG00000030867,ENSMUSG00000022673,ENSMUSG00000020471,ENSMUSG00000027404,ENSMUSG00000032294,ENSMUSG00000025364,ENSMUSG00000063694,ENSMUSG00000062867,ENSMUSG00000060860,ENSMUSG00000036371,ENSMUSG00000031353,ENSMUSG00000030512,ENSMUSG00000027067,ENSMUSG00000031683,ENSMUSG00000001056,ENSMUSG00000025393,ENSMUSG00000031848,ENSMUSG00000054766,ENSMUSG00000034192,ENSMUSG00000031167,ENSMUSG00000027133,ENSMUSG00000018293,ENSMUSG00000078348,ENSMUSG00000063524,ENSMUSG00000071644,ENSMUSG00000025817,ENSMUSG00000033020,ENSMUSG00000056209,ENSMUSG00000024691,ENSMUSG00000020018,ENSMUSG00000042079,ENSMUSG00000020358,ENSMUSG00000028691,ENSMUSG00000067367,ENSMUSG00000028639,ENSMUSG00000029066,ENSMUSG00000021131,ENSMUSG00000032026,ENSMUSG00000078941,ENSMUSG00000004897,ENSMUSG00000020180,ENSMUSG00000041126,ENSMUSG00000068039,ENSMUSG00000025134,ENSMUSG00000029247,ENSMUSG00000022551,ENSMUSG00000063480,ENSMUSG00000109324,ENSMUSG00000059005,ENSMUSG00000061613,ENSMUSG00000057113,ENSMUSG00000025794,ENSMUSG00000067194,ENSMUSG00000021116,ENSMUSG00000006589,ENSMUSG00000025144,ENSMUSG00000061360,ENSMUSG00000030042,ENSMUSG00000028964,ENSMUSG00000046434,ENSMUSG00000025980,ENSMUSG00000027405,ENSMUSG00000024097,ENSMUSG00000030007,ENSMUSG00000026020,ENSMUSG00000030357,ENSMUSG00000035960,ENSMUSG00000026385,ENSMUSG00000043091,ENSMUSG00000071172,ENSMUSG00000026374,ENSMUSG00000035215,ENSMUSG00000032966,ENSMUSG00000008892,ENSMUSG00000025630,ENSMUSG00000038900,ENSMUSG00000030417,ENSMUSG00000001416,ENSMUSG00000057278,ENSMUSG00000030189,ENSMUSG00000018583,ENSMUSG00000021024,ENSMUSG00000025613,ENSMUSG00000068882,ENSMUSG00000015937,ENSMUSG00000021957,ENSMUSG00000026234,ENSMUSG00000070319,ENSMUSG00000030057,ENSMUSG00000023944,ENSMUSG00000021040,ENSMUSG00000028798,ENSMUSG00000022234,ENSMUSG00000074656,ENSMUSG00000034024,ENSMUSG00000073676,ENSMUSG00000043866,ENSMUSG00000022956,ENSMUSG00000020857"
"GO:MF","enzyme binding","GO:0019899","6.833223508347102e-14","13.165374373678853","1988","355","86","21091","ENSMUSG00000023004,ENSMUSG00000017716,ENSMUSG00000001403,ENSMUSG00000001525,ENSMUSG00000028044,ENSMUSG00000020914,ENSMUSG00000037601,ENSMUSG00000028333,ENSMUSG00000066551,ENSMUSG00000033307,ENSMUSG00000057666,ENSMUSG00000007050,ENSMUSG00000027342,ENSMUSG00000063229,ENSMUSG00000049932,ENSMUSG00000024844,ENSMUSG00000058799,ENSMUSG00000028367,ENSMUSG00000006398,ENSMUSG00000006715,ENSMUSG00000023015,ENSMUSG00000041431,ENSMUSG00000027715,ENSMUSG00000038943,ENSMUSG00000054428,ENSMUSG00000020738,ENSMUSG00000027469,ENSMUSG00000002870,ENSMUSG00000052833,ENSMUSG00000023104,ENSMUSG00000044533,ENSMUSG00000028884,ENSMUSG00000009575,ENSMUSG00000020897,ENSMUSG00000022391,ENSMUSG00000022881,ENSMUSG00000029363,ENSMUSG00000030867,ENSMUSG00000025364,ENSMUSG00000063694,ENSMUSG00000062248,ENSMUSG00000063524,ENSMUSG00000029836,ENSMUSG00000055839,ENSMUSG00000023456,ENSMUSG00000026193,ENSMUSG00000028639,ENSMUSG00000011752,ENSMUSG00000029472,ENSMUSG00000039615,ENSMUSG00000078941,ENSMUSG00000020180,ENSMUSG00000028551,ENSMUSG00000032171,ENSMUSG00000068039,ENSMUSG00000014226,ENSMUSG00000063480,ENSMUSG00000109324,ENSMUSG00000057113,ENSMUSG00000030793,ENSMUSG00000001175,ENSMUSG00000096472,ENSMUSG00000071072,ENSMUSG00000010376,ENSMUSG00000028964,ENSMUSG00000025980,ENSMUSG00000027405,ENSMUSG00000026020,ENSMUSG00000020372,ENSMUSG00000071172,ENSMUSG00000032966,ENSMUSG00000019370,ENSMUSG00000020265,ENSMUSG00000007656,ENSMUSG00000040385,ENSMUSG00000015937,ENSMUSG00000026234,ENSMUSG00000018446,ENSMUSG00000022769,ENSMUSG00000023944,ENSMUSG00000028798,ENSMUSG00000070348,ENSMUSG00000000184,ENSMUSG00000034024,ENSMUSG00000043866,ENSMUSG00000020857"
"GO:MF","single-stranded DNA binding","GO:0003697","1.987204249275438e-12","11.701757492842633","113","355","20","21091","ENSMUSG00000028312,ENSMUSG00000037601,ENSMUSG00000034349,ENSMUSG00000005410,ENSMUSG00000026355,ENSMUSG00000026434,ENSMUSG00000041859,ENSMUSG00000029730,ENSMUSG00000002870,ENSMUSG00000028884,ENSMUSG00000030346,ENSMUSG00000022673,ENSMUSG00000024691,ENSMUSG00000028639,ENSMUSG00000025134,ENSMUSG00000046434,ENSMUSG00000026374,ENSMUSG00000030189,ENSMUSG00000026234,ENSMUSG00000030057"
"GO:MF","protein-containing complex binding","GO:0044877","1.679694979644429e-10","9.774769575824278","1451","355","65","21091","ENSMUSG00000037894,ENSMUSG00000001525,ENSMUSG00000029430,ENSMUSG00000003038,ENSMUSG00000037601,ENSMUSG00000078812,ENSMUSG00000002477,ENSMUSG00000066551,ENSMUSG00000033307,ENSMUSG00000040681,ENSMUSG00000026605,ENSMUSG00000027342,ENSMUSG00000006398,ENSMUSG00000041431,ENSMUSG00000006728,ENSMUSG00000090553,ENSMUSG00000071866,ENSMUSG00000054428,ENSMUSG00000029687,ENSMUSG00000044533,ENSMUSG00000009575,ENSMUSG00000001228,ENSMUSG00000029591,ENSMUSG00000030867,ENSMUSG00000027404,ENSMUSG00000060860,ENSMUSG00000028693,ENSMUSG00000029632,ENSMUSG00000027067,ENSMUSG00000025044,ENSMUSG00000032518,ENSMUSG00000022890,ENSMUSG00000018189,ENSMUSG00000031167,ENSMUSG00000040824,ENSMUSG00000063524,ENSMUSG00000055839,ENSMUSG00000026193,ENSMUSG00000000563,ENSMUSG00000020180,ENSMUSG00000109324,ENSMUSG00000057113,ENSMUSG00000034566,ENSMUSG00000021116,ENSMUSG00000079658,ENSMUSG00000028964,ENSMUSG00000025980,ENSMUSG00000026020,ENSMUSG00000035960,ENSMUSG00000020372,ENSMUSG00000034484,ENSMUSG00000026374,ENSMUSG00000032966,ENSMUSG00000057278,ENSMUSG00000026895,ENSMUSG00000030189,ENSMUSG00000040385,ENSMUSG00000056737,ENSMUSG00000050856,ENSMUSG00000015937,ENSMUSG00000018446,ENSMUSG00000070348,ENSMUSG00000022956,ENSMUSG00000029304,ENSMUSG00000020857"
"GO:MF","proton-transporting ATP synthase activity, rotational mechanism","GO:0046933","4.152792402375325e-9","8.381659778679749","19","355","9","21091","ENSMUSG00000006057,ENSMUSG00000025393,ENSMUSG00000022890,ENSMUSG00000000563,ENSMUSG00000018770,ENSMUSG00000038690,ENSMUSG00000034566,ENSMUSG00000050856,ENSMUSG00000022956"
"GO:MF","ribonucleoprotein complex binding","GO:0043021","4.32456227603287e-9","8.364057844435937","149","355","19","21091","ENSMUSG00000037601,ENSMUSG00000078812,ENSMUSG00000002477,ENSMUSG00000090553,ENSMUSG00000029687,ENSMUSG00000009575,ENSMUSG00000029591,ENSMUSG00000027404,ENSMUSG00000032518,ENSMUSG00000031167,ENSMUSG00000040824,ENSMUSG00000020180,ENSMUSG00000109324,ENSMUSG00000057113,ENSMUSG00000021116,ENSMUSG00000020372,ENSMUSG00000057278,ENSMUSG00000030189,ENSMUSG00000040385"
"GO:MF","proton transmembrane transporter activity","GO:0015078","7.747926434977635e-8","7.110814511473183","118","355","16","21091","ENSMUSG00000006057,ENSMUSG00000000088,ENSMUSG00000029632,ENSMUSG00000025393,ENSMUSG00000022890,ENSMUSG00000032330,ENSMUSG00000031231,ENSMUSG00000061518,ENSMUSG00000000563,ENSMUSG00000018770,ENSMUSG00000038690,ENSMUSG00000034566,ENSMUSG00000014313,ENSMUSG00000041697,ENSMUSG00000050856,ENSMUSG00000022956"
