"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","protein-containing complex binding","GO:0044877","1.0683521545081009e-8","7.971285569825502","1451","235","47","21091","ENSMUSG00000050335,ENSMUSG00000026728,ENSMUSG00000025473,ENSMUSG00000056737,ENSMUSG00000025351,ENSMUSG00000030536,ENSMUSG00000021939,ENSMUSG00000025044,ENSMUSG00000029304,ENSMUSG00000028249,ENSMUSG00000033307,ENSMUSG00000011148,ENSMUSG00000021248,ENSMUSG00000015568,ENSMUSG00000049723,ENSMUSG00000040152,ENSMUSG00000063524,ENSMUSG00000056201,ENSMUSG00000029816,ENSMUSG00000020053,ENSMUSG00000031799,ENSMUSG00000029465,ENSMUSG00000020077,ENSMUSG00000052397,ENSMUSG00000003873,ENSMUSG00000021701,ENSMUSG00000031328,ENSMUSG00000006304,ENSMUSG00000021814,ENSMUSG00000055839,ENSMUSG00000037601,ENSMUSG00000022892,ENSMUSG00000008475,ENSMUSG00000021477,ENSMUSG00000032220,ENSMUSG00000053317,ENSMUSG00000015243,ENSMUSG00000079477,ENSMUSG00000025130,ENSMUSG00000032383,ENSMUSG00000026914,ENSMUSG00000013160,ENSMUSG00000003814,ENSMUSG00000036181,ENSMUSG00000112148,ENSMUSG00000062593,ENSMUSG00000035493"
"GO:MF","oxidoreductase activity, acting on a sulfur group of donors","GO:0016667","2.2325577457370838e-7","6.65119729914462","56","235","10","21091","ENSMUSG00000075705,ENSMUSG00000028367,ENSMUSG00000020803,ENSMUSG00000028843,ENSMUSG00000021591,ENSMUSG00000062070,ENSMUSG00000032802,ENSMUSG00000025130,ENSMUSG00000020571,ENSMUSG00000024583"
"GO:MF","disulfide oxidoreductase activity","GO:0015036","0.000004809029658063726","5.31794254455362","40","235","8","21091","ENSMUSG00000028367,ENSMUSG00000020803,ENSMUSG00000028843,ENSMUSG00000021591,ENSMUSG00000062070,ENSMUSG00000025130,ENSMUSG00000020571,ENSMUSG00000024583"
"GO:MF","integrin binding","GO:0005178","0.000011980425883973358","4.921527743234518","132","235","12","21091","ENSMUSG00000025473,ENSMUSG00000029304,ENSMUSG00000040152,ENSMUSG00000029816,ENSMUSG00000020053,ENSMUSG00000021814,ENSMUSG00000022892,ENSMUSG00000025130,ENSMUSG00000003814,ENSMUSG00000112148,ENSMUSG00000062593,ENSMUSG00000035493"
"GO:MF","threonine-type endopeptidase activity","GO:0004298","0.00002462162646514461","4.608683261660343","20","235","6","21091","ENSMUSG00000018286,ENSMUSG00000022193,ENSMUSG00000027566,ENSMUSG00000069744,ENSMUSG00000021024,ENSMUSG00000005779"
"GO:MF","cell adhesion molecule binding","GO:0050839","0.000031488826982489914","4.501843517341239","273","235","16","21091","ENSMUSG00000025473,ENSMUSG00000009687,ENSMUSG00000029304,ENSMUSG00000028249,ENSMUSG00000040152,ENSMUSG00000029816,ENSMUSG00000020053,ENSMUSG00000052397,ENSMUSG00000021814,ENSMUSG00000022892,ENSMUSG00000025130,ENSMUSG00000055447,ENSMUSG00000003814,ENSMUSG00000112148,ENSMUSG00000062593,ENSMUSG00000035493"
"GO:MF","S100 protein binding","GO:0044548","0.00007941195793121332","4.100114096155801","13","235","5","21091","ENSMUSG00000032231,ENSMUSG00000030536,ENSMUSG00000052397,ENSMUSG00000027907,ENSMUSG00000001025"
"GO:MF","threonine-type peptidase activity","GO:0070003","0.00010737257881943169","3.9691066161033395","25","235","6","21091","ENSMUSG00000018286,ENSMUSG00000022193,ENSMUSG00000027566,ENSMUSG00000069744,ENSMUSG00000021024,ENSMUSG00000005779"
"GO:MF","enzyme binding","GO:0019899","0.00022200930232321655","3.653628827968269","1988","235","47","21091","ENSMUSG00000050335,ENSMUSG00000026728,ENSMUSG00000032231,ENSMUSG00000005054,ENSMUSG00000027712,ENSMUSG00000030695,ENSMUSG00000030536,ENSMUSG00000060147,ENSMUSG00000011752,ENSMUSG00000001175,ENSMUSG00000028063,ENSMUSG00000057666,ENSMUSG00000028108,ENSMUSG00000005514,ENSMUSG00000002233,ENSMUSG00000028367,ENSMUSG00000026229,ENSMUSG00000023456,ENSMUSG00000033307,ENSMUSG00000039105,ENSMUSG00000063524,ENSMUSG00000056201,ENSMUSG00000052397,ENSMUSG00000019804,ENSMUSG00000025877,ENSMUSG00000031328,ENSMUSG00000006304,ENSMUSG00000055839,ENSMUSG00000037601,ENSMUSG00000063229,ENSMUSG00000022892,ENSMUSG00000031490,ENSMUSG00000015243,ENSMUSG00000019370,ENSMUSG00000025130,ENSMUSG00000018567,ENSMUSG00000032383,ENSMUSG00000038965,ENSMUSG00000078566,ENSMUSG00000005413,ENSMUSG00000029198,ENSMUSG00000003814,ENSMUSG00000022769,ENSMUSG00000024359,ENSMUSG00000029103,ENSMUSG00000017009,ENSMUSG00000031451"
"GO:MF","identical protein binding","GO:0042802","0.0003218696119983844","3.492320023514401","2143","235","49","21091","ENSMUSG00000026728,ENSMUSG00000068220,ENSMUSG00000032231,ENSMUSG00000032294,ENSMUSG00000027712,ENSMUSG00000030695,ENSMUSG00000028063,ENSMUSG00000027533,ENSMUSG00000022636,ENSMUSG00000057666,ENSMUSG00000028691,ENSMUSG00000041959,ENSMUSG00000028249,ENSMUSG00000028367,ENSMUSG00000031266,ENSMUSG00000023456,ENSMUSG00000033307,ENSMUSG00000011148,ENSMUSG00000029994,ENSMUSG00000015568,ENSMUSG00000063524,ENSMUSG00000031799,ENSMUSG00000027506,ENSMUSG00000052397,ENSMUSG00000003873,ENSMUSG00000037820,ENSMUSG00000027907,ENSMUSG00000073490,ENSMUSG00000021996,ENSMUSG00000031328,ENSMUSG00000036499,ENSMUSG00000037601,ENSMUSG00000063229,ENSMUSG00000022892,ENSMUSG00000025969,ENSMUSG00000031996,ENSMUSG00000003380,ENSMUSG00000027566,ENSMUSG00000001025,ENSMUSG00000078566,ENSMUSG00000005413,ENSMUSG00000019987,ENSMUSG00000019528,ENSMUSG00000029198,ENSMUSG00000039067,ENSMUSG00000075706,ENSMUSG00000018102,ENSMUSG00000017009,ENSMUSG00000035493"
"GO:MF","signaling receptor binding","GO:0005102","0.0004239774515910778","3.3726572398930394","1780","235","43","21091","ENSMUSG00000050335,ENSMUSG00000029819,ENSMUSG00000025473,ENSMUSG00000027712,ENSMUSG00000043421,ENSMUSG00000029373,ENSMUSG00000001175,ENSMUSG00000030144,ENSMUSG00000029304,ENSMUSG00000028108,ENSMUSG00000028249,ENSMUSG00000027276,ENSMUSG00000031266,ENSMUSG00000033307,ENSMUSG00000028583,ENSMUSG00000015568,ENSMUSG00000040152,ENSMUSG00000056201,ENSMUSG00000029816,ENSMUSG00000020053,ENSMUSG00000021508,ENSMUSG00000018293,ENSMUSG00000029379,ENSMUSG00000031328,ENSMUSG00000006304,ENSMUSG00000021814,ENSMUSG00000022892,ENSMUSG00000062515,ENSMUSG00000015243,ENSMUSG00000019370,ENSMUSG00000025130,ENSMUSG00000018567,ENSMUSG00000032388,ENSMUSG00000003814,ENSMUSG00000019122,ENSMUSG00000029103,ENSMUSG00000032575,ENSMUSG00000026981,ENSMUSG00000031451,ENSMUSG00000035373,ENSMUSG00000112148,ENSMUSG00000062593,ENSMUSG00000035493"
"GO:MF","extracellular matrix binding","GO:0050840","0.0012941220205214712","2.888024772863011","57","235","7","21091","ENSMUSG00000050335,ENSMUSG00000068220,ENSMUSG00000032231,ENSMUSG00000029304,ENSMUSG00000028108,ENSMUSG00000040152,ENSMUSG00000035493"
"GO:MF","lipid binding","GO:0008289","0.0014641765951802401","2.8344065396116087","801","235","25","21091","ENSMUSG00000032231,ENSMUSG00000027712,ENSMUSG00000030536,ENSMUSG00000027533,ENSMUSG00000028249,ENSMUSG00000027276,ENSMUSG00000029994,ENSMUSG00000015568,ENSMUSG00000040152,ENSMUSG00000056201,ENSMUSG00000020053,ENSMUSG00000003873,ENSMUSG00000018293,ENSMUSG00000019804,ENSMUSG00000026600,ENSMUSG00000021814,ENSMUSG00000036499,ENSMUSG00000062515,ENSMUSG00000041736,ENSMUSG00000032220,ENSMUSG00000015243,ENSMUSG00000005779,ENSMUSG00000032575,ENSMUSG00000031451,ENSMUSG00000051439"
"GO:MF","peptide disulfide oxidoreductase activity","GO:0015037","0.0018801469172136473","2.725808213054298","11","235","4","21091","ENSMUSG00000028367,ENSMUSG00000021591,ENSMUSG00000025130,ENSMUSG00000020571"
"GO:MF","protein-disulfide reductase activity","GO:0047134","0.002184841436181452","2.6605800762634577","4","235","3","21091","ENSMUSG00000028367,ENSMUSG00000020803,ENSMUSG00000062070"
"GO:MF","calcium ion binding","GO:0005509","0.0023526432807327697","2.628443917683183","717","235","23","21091","ENSMUSG00000025473,ENSMUSG00000032231,ENSMUSG00000027712,ENSMUSG00000030536,ENSMUSG00000001175,ENSMUSG00000041959,ENSMUSG00000027276,ENSMUSG00000029994,ENSMUSG00000074743,ENSMUSG00000015568,ENSMUSG00000049723,ENSMUSG00000090841,ENSMUSG00000040152,ENSMUSG00000027506,ENSMUSG00000025854,ENSMUSG00000037820,ENSMUSG00000027907,ENSMUSG00000021814,ENSMUSG00000019370,ENSMUSG00000001794,ENSMUSG00000001025,ENSMUSG00000003814,ENSMUSG00000031451"
"GO:MF","calcium-dependent protein binding","GO:0048306","0.002763058486164787","2.5586099221953935","89","235","8","21091","ENSMUSG00000032231,ENSMUSG00000001175,ENSMUSG00000041959,ENSMUSG00000029994,ENSMUSG00000027907,ENSMUSG00000021814,ENSMUSG00000019370,ENSMUSG00000001025"
"GO:MF","actin filament binding","GO:0051015","0.007724556302454525","2.1121264570072995","204","235","11","21091","ENSMUSG00000056737,ENSMUSG00000030536,ENSMUSG00000011148,ENSMUSG00000056201,ENSMUSG00000031799,ENSMUSG00000029465,ENSMUSG00000052397,ENSMUSG00000031328,ENSMUSG00000006304,ENSMUSG00000008475,ENSMUSG00000032220"
"GO:MF","chaperone binding","GO:0051087","0.00813865895708444","2.089447149842804","103","235","8","21091","ENSMUSG00000028583,ENSMUSG00000061175,ENSMUSG00000003873,ENSMUSG00000015290,ENSMUSG00000022892,ENSMUSG00000029198,ENSMUSG00000022769,ENSMUSG00000024359"
