"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","enzyme binding","GO:0019899","0.000023568616173401272","4.627665916241007","1988","182","42","21091","ENSMUSG00000052684,ENSMUSG00000027447,ENSMUSG00000054364,ENSMUSG00000024621,ENSMUSG00000020101,ENSMUSG00000044786,ENSMUSG00000040435,ENSMUSG00000069662,ENSMUSG00000028581,ENSMUSG00000038418,ENSMUSG00000005583,ENSMUSG00000038872,ENSMUSG00000007613,ENSMUSG00000038393,ENSMUSG00000045730,ENSMUSG00000079227,ENSMUSG00000030246,ENSMUSG00000001270,ENSMUSG00000029204,ENSMUSG00000091971,ENSMUSG00000024349,ENSMUSG00000027947,ENSMUSG00000030557,ENSMUSG00000079110,ENSMUSG00000036478,ENSMUSG00000071076,ENSMUSG00000032010,ENSMUSG00000090877,ENSMUSG00000062127,ENSMUSG00000024190,ENSMUSG00000025880,ENSMUSG00000048490,ENSMUSG00000019960,ENSMUSG00000042106,ENSMUSG00000003032,ENSMUSG00000071042,ENSMUSG00000041417,ENSMUSG00000019970,ENSMUSG00000028291,ENSMUSG00000022528,ENSMUSG00000034957,ENSMUSG00000030256"
"GO:MF","enzyme regulator activity","GO:0030234","0.0001623599972030362","3.7895209648363113","1163","182","29","21091","ENSMUSG00000052684,ENSMUSG00000027447,ENSMUSG00000020101,ENSMUSG00000040435,ENSMUSG00000030844,ENSMUSG00000024013,ENSMUSG00000020377,ENSMUSG00000038393,ENSMUSG00000026360,ENSMUSG00000033450,ENSMUSG00000026425,ENSMUSG00000029204,ENSMUSG00000018008,ENSMUSG00000027829,ENSMUSG00000020709,ENSMUSG00000079110,ENSMUSG00000032870,ENSMUSG00000000753,ENSMUSG00000003644,ENSMUSG00000035697,ENSMUSG00000042106,ENSMUSG00000003032,ENSMUSG00000071042,ENSMUSG00000042328,ENSMUSG00000041417,ENSMUSG00000041112,ENSMUSG00000056917,ENSMUSG00000041890,ENSMUSG00000038608"
"GO:MF","GTPase regulator activity","GO:0030695","0.0006771842790921537","3.1692931326404477","428","182","16","21091","ENSMUSG00000052684,ENSMUSG00000030844,ENSMUSG00000024013,ENSMUSG00000026360,ENSMUSG00000033450,ENSMUSG00000026425,ENSMUSG00000018008,ENSMUSG00000020709,ENSMUSG00000032870,ENSMUSG00000035697,ENSMUSG00000071042,ENSMUSG00000042328,ENSMUSG00000041112,ENSMUSG00000056917,ENSMUSG00000041890,ENSMUSG00000038608"
"GO:MF","nucleoside-triphosphatase regulator activity","GO:0060589","0.00220811080650575","2.6559791368094374","469","182","16","21091","ENSMUSG00000052684,ENSMUSG00000030844,ENSMUSG00000024013,ENSMUSG00000026360,ENSMUSG00000033450,ENSMUSG00000026425,ENSMUSG00000018008,ENSMUSG00000020709,ENSMUSG00000032870,ENSMUSG00000035697,ENSMUSG00000071042,ENSMUSG00000042328,ENSMUSG00000041112,ENSMUSG00000056917,ENSMUSG00000041890,ENSMUSG00000038608"
"GO:MF","cytokine binding","GO:0019955","0.0025540852444309353","2.5927646119402006","141","182","9","21091","ENSMUSG00000024621,ENSMUSG00000052336,ENSMUSG00000044786,ENSMUSG00000020009,ENSMUSG00000007613,ENSMUSG00000079227,ENSMUSG00000027947,ENSMUSG00000032089,ENSMUSG00000028859"
"GO:MF","GTPase activator activity","GO:0005096","0.004723123890527371","2.325770662454907","237","182","11","21091","ENSMUSG00000052684,ENSMUSG00000030844,ENSMUSG00000026360,ENSMUSG00000033450,ENSMUSG00000026425,ENSMUSG00000020709,ENSMUSG00000032870,ENSMUSG00000035697,ENSMUSG00000071042,ENSMUSG00000056917,ENSMUSG00000041890"
"GO:MF","histone deacetylase binding","GO:0042826","0.00825099410418319","2.083493723213486","124","182","8","21091","ENSMUSG00000005583,ENSMUSG00000091971,ENSMUSG00000030557,ENSMUSG00000048490,ENSMUSG00000003032,ENSMUSG00000022528,ENSMUSG00000034957,ENSMUSG00000030256"
"GO:MF","molecular function regulator","GO:0098772","0.008494269505054039","2.070873963889134","2227","182","39","21091","ENSMUSG00000052684,ENSMUSG00000020423,ENSMUSG00000027447,ENSMUSG00000020101,ENSMUSG00000040435,ENSMUSG00000030844,ENSMUSG00000024013,ENSMUSG00000020377,ENSMUSG00000038393,ENSMUSG00000045730,ENSMUSG00000026360,ENSMUSG00000033450,ENSMUSG00000026425,ENSMUSG00000029204,ENSMUSG00000091971,ENSMUSG00000018008,ENSMUSG00000027829,ENSMUSG00000020709,ENSMUSG00000079110,ENSMUSG00000032870,ENSMUSG00000025880,ENSMUSG00000000753,ENSMUSG00000003644,ENSMUSG00000037876,ENSMUSG00000048490,ENSMUSG00000035697,ENSMUSG00000042106,ENSMUSG00000003032,ENSMUSG00000071042,ENSMUSG00000042328,ENSMUSG00000041417,ENSMUSG00000028214,ENSMUSG00000041112,ENSMUSG00000019970,ENSMUSG00000056917,ENSMUSG00000041890,ENSMUSG00000038608,ENSMUSG00000048546,ENSMUSG00000030256"
"GO:MF","transcription factor binding","GO:0008134","0.00999616813833563","2.0001664475298577","717","182","19","21091","ENSMUSG00000052684,ENSMUSG00000021250,ENSMUSG00000052837,ENSMUSG00000038418,ENSMUSG00000005583,ENSMUSG00000091971,ENSMUSG00000024349,ENSMUSG00000030557,ENSMUSG00000071076,ENSMUSG00000025880,ENSMUSG00000003644,ENSMUSG00000048490,ENSMUSG00000016494,ENSMUSG00000003032,ENSMUSG00000041417,ENSMUSG00000048546,ENSMUSG00000022528,ENSMUSG00000034957,ENSMUSG00000030256"
"GO:MF","identical protein binding","GO:0042802","0.020349345051727193","1.691449564079948","2143","182","37","21091","ENSMUSG00000052684,ENSMUSG00000027447,ENSMUSG00000024621,ENSMUSG00000020101,ENSMUSG00000026473,ENSMUSG00000069662,ENSMUSG00000021665,ENSMUSG00000031613,ENSMUSG00000056708,ENSMUSG00000098557,ENSMUSG00000020377,ENSMUSG00000026628,ENSMUSG00000026365,ENSMUSG00000045730,ENSMUSG00000079227,ENSMUSG00000030246,ENSMUSG00000026425,ENSMUSG00000029919,ENSMUSG00000018381,ENSMUSG00000038235,ENSMUSG00000024349,ENSMUSG00000027947,ENSMUSG00000048120,ENSMUSG00000035686,ENSMUSG00000079110,ENSMUSG00000032010,ENSMUSG00000055435,ENSMUSG00000020023,ENSMUSG00000025993,ENSMUSG00000029344,ENSMUSG00000042328,ENSMUSG00000066975,ENSMUSG00000028291,ENSMUSG00000022528,ENSMUSG00000012535,ENSMUSG00000034957,ENSMUSG00000030256"
