"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","ensembl"
"1",0,1.2343201549471,0.899,0.757,0,"H-Microglia","Jun",0.142,"ENSMUSG00000052684"
"2",0,1.16742046731535,0.878,0.642,0,"H-Microglia","P2ry12",0.236,"ENSMUSG00000036353"
"3",0,0.945405314008677,0.75,0.411,0,"H-Microglia","Siglech",0.339,"ENSMUSG00000051504"
"4",0,0.922522826152341,0.929,0.82,0,"H-Microglia","Selplg",0.109,"ENSMUSG00000048163"
"5",0,0.900527453344298,0.856,0.743,0,"H-Microglia","Btg2",0.113,"ENSMUSG00000020423"
"6",0,0.841403783633951,0.852,0.796,0,"H-Microglia","Fos",0.0559999999999999,"ENSMUSG00000021250"
"7",0,0.831351541059884,0.894,0.72,0,"H-Microglia","Tmem119",0.174,"ENSMUSG00000054675"
"8",0,0.820356844768911,0.999,0.998,0,"H-Microglia","Cst3",0.001,"ENSMUSG00000027447"
"9",0,0.772137897350317,0.544,0.262,0,"H-Microglia","Crybb1",0.282,"ENSMUSG00000029343"
"10",0,0.753352402310267,0.945,0.88,0,"H-Microglia","Serinc3",0.0649999999999999,"ENSMUSG00000017707"
"11",0,0.717275122746987,0.842,0.716,0,"H-Microglia","Gpr34",0.126,"ENSMUSG00000040229"
"12",0,0.716724554883008,0.8,0.706,0,"H-Microglia","Rhob",0.0940000000000001,"ENSMUSG00000054364"
"13",0,0.639107797184996,0.848,0.7,0,"H-Microglia","Lpcat2",0.148,"ENSMUSG00000033192"
"14",0,0.632745034514249,0.972,0.912,0,"H-Microglia","Sparc",0.0599999999999999,"ENSMUSG00000018593"
"15",0,0.630738695886198,0.984,0.95,0,"H-Microglia","Csf1r",0.034,"ENSMUSG00000024621"
"16",0,0.627052238019759,0.56,0.349,0,"H-Microglia","Lag3",0.211,"ENSMUSG00000030124"
"17",0,0.620548007645226,0.86,0.787,0,"H-Microglia","Vsir",0.073,"ENSMUSG00000020101"
"18",0,0.603112679133995,0.957,0.879,0,"H-Microglia","Cx3cr1",0.078,"ENSMUSG00000052336"
"19",0,0.586880756248795,0.95,0.901,0,"H-Microglia","Selenop",0.0489999999999999,"ENSMUSG00000064373"
"20",0,0.586118860473793,0.833,0.771,0,"H-Microglia","Zfp36",0.0619999999999999,"ENSMUSG00000044786"
"21",0,0.572707732832213,0.781,0.694,0,"H-Microglia","Ifngr1",0.0870000000000001,"ENSMUSG00000020009"
"22",0,0.56465231364059,0.752,0.667,0,"H-Microglia","Ppp1r15a",0.085,"ENSMUSG00000040435"
"23",0,0.537411588218522,0.959,0.949,0,"H-Microglia","Junb",0.01,"ENSMUSG00000052837"
"24",0,0.534662672314367,0.494,0.26,0,"H-Microglia","Ighm",0.234,"ENSMUSG00000076617"
"25",0,0.52881926374255,0.315,0.101,0,"H-Microglia","Slc2a5",0.214,"ENSMUSG00000028976"
"26",0,0.525271576854293,0.867,0.75,0,"H-Microglia","Pld4",0.117,"ENSMUSG00000052160"
"27",0,0.524443582850135,0.378,0.165,0,"H-Microglia","Adgrg1",0.213,"ENSMUSG00000031785"
"28",0,0.520719709159412,0.611,0.463,0,"H-Microglia","Slco2b1",0.148,"ENSMUSG00000030737"
