	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Fabp5	0	2.43676016180511	0.882	0.466	0	0	Fabp5
Gpnmb	0	2.31715376999174	0.761	0.219	0	0	Gpnmb
Spp1	0	2.20869560405295	0.98	0.681	0	0	Spp1
Pf4	0	2.00467356936587	0.655	0.172	0	0	Pf4
Arg1	0	1.93921763242036	0.674	0.122	0	0	Arg1
Lgals3	0	1.91303608984042	0.985	0.516	0	0	Lgals3
Lyz2	0	1.81480370864615	0.973	0.643	0	0	Lyz2
Hmox1	0	1.76739906333953	0.865	0.416	0	0	Hmox1
Ftl1	0	1.6548621408731	1	0.991	0	0	Ftl1
Ccl6	0	1.58170162486428	0.727	0.378	0	0	Ccl6
Wfdc17	0	1.56491702443186	0.949	0.393	0	0	Wfdc17
Lgals1	0	1.55517360158302	0.965	0.49	0	0	Lgals1
Cstb	0	1.48247634046537	0.991	0.763	0	0	Cstb
Ccl7	0	1.46130492666437	0.531	0.139	0	0	Ccl7
Psap	0	1.37153471819704	0.989	0.919	0	0	Psap
Thbs1	0	1.33991508009024	0.809	0.227	0	0	Thbs1
Plin2	0	1.31294324286065	0.984	0.55	0	0	Plin2
Clec4n	0	1.28598995861671	0.474	0.098	0	0	Clec4n
Ctsb	0	1.28472892794939	0.99	0.892	0	0	Ctsb
Msrb1	0	1.2211612481518	0.946	0.436	0	0	Msrb1
Ccl2	0	1.22110761889712	0.716	0.324	0	0	Ccl2
Ninj1	0	1.13262656289381	0.92	0.471	0	0	Ninj1
Fth1	0	1.11967407643414	1	0.998	0	0	Fth1
F13a1	0	1.11456539184886	0.668	0.083	0	0	F13a1
Cyba	0	1.10099398140036	0.993	0.746	0	0	Cyba
Ms4a7	0	1.08946515944492	0.737	0.133	0	0	Ms4a7
Ccl9	0	1.08723139824746	0.59	0.33	0	0	Ccl9
Cd68	0	1.07865252136366	0.97	0.53	0	0	Cd68
Capg	0	1.05080356142543	0.959	0.544	0	0	Capg
Ftl1-ps1	0	1.02758987143814	0.883	0.378	0	0	Ftl1-ps1
Hilpda	0	1.0237165609502	0.768	0.305	0	0	Hilpda
Fabp4	0	1.00105418296718	0.417	0.035	0	0	Fabp4
Clec4d	0	1.00066382958538	0.758	0.135	0	0	Clec4d
Lpl	0	1.19251724478635	0.673	0.204	0	1	Lpl
C1qa	0	1.11585443577293	0.979	0.604	0	1	C1qa
Igf1	0	1.07627931166113	0.499	0.136	0	1	Igf1
Ctsd	0	1.05380796658346	0.988	0.89	0	1	Ctsd
C1qc	0	1.03331402444421	0.978	0.589	0	1	C1qc
Hexb	0	1.00403335562227	0.982	0.65	0	1	Hexb
Ccl4	0	1.84299142778855	0.982	0.567	0	2	Ccl4
Ccl3	0	1.71079234534184	0.965	0.471	0	2	Ccl3
Tnf	0	1.64193700737332	0.853	0.233	0	2	Tnf
Il1a	0	1.49937513554319	0.798	0.203	0	2	Il1a
Cd83	0	1.3841790036471	0.966	0.395	0	2	Cd83
Ccl12	0	1.33168800734475	0.701	0.286	0	2	Ccl12
Gpr84	0	1.23608872952481	0.816	0.193	0	2	Gpr84
Nfkbiz	0	1.1784366340315	0.914	0.381	0	2	Nfkbiz
Il1b	0	1.09506121890735	0.655	0.258	0	2	Il1b
Cst3	0	1.08951791531037	1	0.982	0	2	Cst3
C1qa1	0	1.08371479466048	0.999	0.603	0	2	C1qa
Hexb1	0	1.07542945279228	0.999	0.649	0	2	Hexb
Bcl2a1b	0	1.0654519390017	0.977	0.474	0	2	Bcl2a1b
Cx3cr1	0	1.06480594011582	0.954	0.329	0	2	Cx3cr1
Ly86	0	1.04701427605999	0.993	0.438	0	2	Ly86
Csf1r	0	1.04452042400487	0.989	0.446	0	2	Csf1r
Lpl1	0	1.0442489063169	0.616	0.21	0	2	Lpl
C1qc1	0	1.03616179768983	0.999	0.588	0	2	C1qc
Tnfsf9	0	1.03327754821631	0.475	0.117	0	2	Tnfsf9
C1qb	0	1.01421701465428	0.999	0.629	0	2	C1qb
Fcrls	0	1.00277939352536	0.958	0.373	0	2	Fcrls
Tlr2	0	1.00239463408301	0.908	0.364	0	2	Tlr2
Cldn5	0	1.99873192153912	1	0.248	0	3	Cldn5
Itm2a	0	1.99505370256343	0.976	0.246	0	3	Itm2a
Bsg	0	1.89282540990845	0.994	0.913	0	3	Bsg
Flt1	0	1.87296933792719	0.998	0.214	0	3	Flt1
Slco1a4	0	1.86378683470154	0.986	0.156	0	3	Slco1a4
Ly6c1	0	1.85033657962245	1	0.29	0	3	Ly6c1
Spock2	0	1.78643773496738	0.907	0.178	0	3	Spock2
Ly6a	0	1.7737157875163	0.999	0.295	0	3	Ly6a
Igfbp7	0	1.7417714881492	0.943	0.256	0	3	Igfbp7
Pglyrp1	0	1.72988809302539	0.991	0.202	0	3	Pglyrp1
Car4	0	1.7240435694619	0.886	0.139	0	3	Car4
Slc2a1	0	1.72369961887435	0.998	0.465	0	3	Slc2a1
Hspa1a	0	1.70076238963845	0.977	0.452	0	3	Hspa1a
Id1	0	1.63254069008508	0.951	0.248	0	3	Id1
Abcb1a	0	1.61436669897269	0.946	0.141	0	3	Abcb1a
Ramp2	0	1.60357676063871	0.973	0.204	0	3	Ramp2
Pltp	0	1.59361137896401	0.911	0.337	0	3	Pltp
Id3	0	1.59082755795605	0.983	0.301	0	3	Id3
Slco1c1	0	1.58926442294322	0.892	0.119	0	3	Slco1c1
Sptbn1	0	1.55438823598186	0.98	0.363	0	3	Sptbn1
Egfl7	0	1.55366242467815	0.987	0.197	0	3	Egfl7
Esam	0	1.55145404002784	0.986	0.18	0	3	Esam
Ptprb	0	1.5441192606903	0.891	0.123	0	3	Ptprb
Abcg2	0	1.54258701533651	0.958	0.246	0	3	Abcg2
Tmem252	0	1.50868450495857	0.811	0.136	0	3	Tmem252
Cxcl12	0	1.50130500955583	0.8	0.143	0	3	Cxcl12
Apold1	0	1.49664322179376	0.851	0.126	0	3	Apold1
Arl4a	0	1.49597828824509	0.945	0.306	0	3	Arl4a
Klf4	0	1.49118224279522	0.929	0.423	0	3	Klf4
Vwa1	0	1.4753350996374	0.972	0.184	0	3	Vwa1
Cd200	0	1.47397195660236	0.906	0.229	0	3	Cd200
Klf2	0	1.46154802287058	0.976	0.532	0	3	Klf2
Tsc22d1	0	1.44673632046827	0.958	0.424	0	3	Tsc22d1
Hspa1b	0	1.44469327546007	0.82	0.235	0	3	Hspa1b
Itih5	0	1.44247102108108	0.788	0.115	0	3	Itih5
Ablim1	0	1.4230128999898	0.858	0.166	0	3	Ablim1
Jcad	0	1.42046894155578	0.876	0.133	0	3	Jcad
Adgrl4	0	1.41036917526837	0.918	0.138	0	3	Adgrl4
Adgrf5	0	1.40957481368258	0.927	0.144	0	3	Adgrf5
Epas1	0	1.40849956866432	0.95	0.213	0	3	Epas1
Igf1r	0	1.38525008731974	0.865	0.247	0	3	Igf1r
Ctla2a	0	1.3842510155739	0.976	0.356	0	3	Ctla2a
Slc7a5	0	1.38182864764773	0.816	0.206	0	3	Slc7a5
Sgms1	0	1.35931014536215	0.93	0.261	0	3	Sgms1
Scgb3a1	0	1.35167014765002	0.471	0.044	0	3	Scgb3a1
Slc9a3r2	0	1.35055672160613	0.917	0.165	0	3	Slc9a3r2
Ccdc141	0	1.34489499521373	0.836	0.121	0	3	Ccdc141
Emcn	0	1.32360616324498	0.928	0.148	0	3	Emcn
Eng	0	1.29521040740531	0.926	0.213	0	3	Eng
Srarp	0	1.28379719260473	0.81	0.099	0	3	Srarp
Foxq1	0	1.28307587618275	0.725	0.08	0	3	Foxq1
Tspan13	0	1.2771695595168	0.891	0.323	0	3	Tspan13
Cavin2	0	1.26960330618678	0.799	0.121	0	3	Cavin2
Paqr5	0	1.26850183560073	0.853	0.106	0	3	Paqr5
Cyyr1	0	1.26280449320779	0.841	0.114	0	3	Cyyr1
Crip2	0	1.24972043007555	0.977	0.324	0	3	Crip2
Slc22a8	0	1.24642699298345	0.703	0.076	0	3	Slc22a8
Slc38a5	0	1.24270252044563	0.674	0.064	0	3	Slc38a5
Slc7a1	0	1.2422978579518	0.7	0.167	0	3	Slc7a1
Slc39a10	0	1.23389948348202	0.827	0.225	0	3	Slc39a10
Dusp1	0	1.21867887037779	0.959	0.69	0	3	Dusp1
Ptn	0	1.21737650788906	0.809	0.247	0	3	Ptn
Net1	0	1.21665984288946	0.727	0.105	0	3	Net1
Wfdc1	0	1.21348727967802	0.837	0.111	0	3	Wfdc1
Gsta4	0	1.20652788873501	0.83	0.21	0	3	Gsta4
Sema3c	0	1.20554181563824	0.78	0.111	0	3	Sema3c
Pecam1	0	1.20483926410531	0.907	0.165	0	3	Pecam1
Jun	0	1.20160882946267	0.99	0.789	0	3	Jun
Podxl	0	1.1922234919385	0.796	0.131	0	3	Podxl
Kdr	0	1.18947017951123	0.794	0.117	0	3	Kdr
Pcp4l1	0	1.18301985176516	0.942	0.256	0	3	Pcp4l1
Ndrg1	0	1.15892389091262	0.874	0.226	0	3	Ndrg1
Lsr	0	1.15406827857587	0.849	0.135	0	3	Lsr
Nostrin	0	1.15091364570787	0.803	0.118	0	3	Nostrin
Hspb1	0	1.14629369375237	0.991	0.396	0	3	Hspb1
Gpcpd1	0	1.14135663770772	0.853	0.31	0	3	Gpcpd1
Cd34	0	1.13867124699583	0.938	0.331	0	3	Cd34
Grrp1	0	1.13358705857574	0.68	0.088	0	3	Grrp1
Abhd2	0	1.12954157608399	0.832	0.265	0	3	Abhd2
Gng11	0	1.12742856618114	0.948	0.282	0	3	Gng11
Slc6a6	0	1.12083153604375	0.821	0.522	0	3	Slc6a6
Jund	0	1.1204845668577	0.876	0.623	0	3	Jund
Mal	0	1.11509515292178	0.895	0.166	0	3	Mal
Palmd	0	1.11292842611489	0.774	0.115	0	3	Palmd
Acvrl1	0	1.10737595739399	0.878	0.223	0	3	Acvrl1
Timp3	0	1.08691598139737	0.882	0.249	0	3	Timp3
Gimap6	0	1.07654633735649	0.823	0.149	0	3	Gimap6
Ptprg	0	1.07537245082614	0.793	0.161	0	3	Ptprg
Bcam	0	1.07496778194816	0.807	0.118	0	3	Bcam
Fcgrt	0	1.07319298040583	0.847	0.299	0	3	Fcgrt
Depp1	0	1.07291179759273	0.534	0.075	0	3	Depp1
Cdh5	0	1.06083608816546	0.848	0.135	0	3	Cdh5
S1pr1	0	1.05059823987141	0.862	0.245	0	3	S1pr1
Kank3	0	1.04939069099762	0.785	0.133	0	3	Kank3
BC028528	0	1.04901657927522	0.849	0.299	0	3	BC028528
Slc40a1	0	1.04752867938734	0.692	0.138	0	3	Slc40a1
Nkd1	0	1.03829475749393	0.679	0.091	0	3	Nkd1
Tshz2	0	1.03679740695478	0.804	0.199	0	3	Tshz2
Ece1	0	1.03375759990463	0.786	0.172	0	3	Ece1
Lef1	0	1.02839689802099	0.727	0.087	0	3	Lef1
Sema7a	0	1.02144600344975	0.769	0.127	0	3	Sema7a
Tinagl1	0	1.01830452312545	0.819	0.132	0	3	Tinagl1
Clec2d	0	1.01802962330019	0.711	0.153	0	3	Clec2d
Tmem204	0	1.0097274076073	0.739	0.096	0	3	Tmem204
Degs2	0	1.00835253440995	0.722	0.075	0	3	Degs2
Sparcl1	0	1.00763797079333	0.846	0.319	0	3	Sparcl1
Fn1	0	1.00503540796204	0.914	0.43	0	3	Fn1
Hmcn1	0	1.00404933435688	0.626	0.066	0	3	Hmcn1
Col4a1	0	1.00360936068305	0.746	0.17	0	3	Col4a1
Hes1	0	1.00196577097289	0.811	0.384	0	3	Hes1
Ccl41	0	1.5234901145395	0.965	0.578	0	4	Ccl4
Ccl31	0	1.42998426204206	0.939	0.484	0	4	Ccl3
P2ry12	0	1.3907544926471	0.885	0.246	0	4	P2ry12
Cst31	0	1.34950381246231	0.999	0.983	0	4	Cst3
Csf1r1	0	1.31688407300425	0.99	0.458	0	4	Csf1r
Cx3cr11	0	1.30202777527957	0.968	0.343	0	4	Cx3cr1
Selplg	0	1.28475383197794	0.944	0.415	0	4	Selplg
Hexb2	0	1.24736209541224	0.999	0.657	0	4	Hexb
Cd831	0	1.23601063890287	0.937	0.41	0	4	Cd83
Tmem119	0	1.23034275740606	0.896	0.282	0	4	Tmem119
Gpr34	0	1.21641033113785	0.826	0.245	0	4	Gpr34
Olfml3	0	1.15937510561315	0.958	0.427	0	4	Olfml3
Tnf1	0	1.15218070273359	0.753	0.254	0	4	Tnf
Ly861	0	1.15201902099636	0.986	0.451	0	4	Ly86
Ccl121	0	1.10186795468273	0.641	0.299	0	4	Ccl12
C1qa2	0	1.08718634530913	0.999	0.613	0	4	C1qa
C1qb1	0	1.07251235291922	0.999	0.638	0	4	C1qb
C1qc2	0	1.06872390823593	0.999	0.598	0	4	C1qc
Siglech	0	1.06237602490115	0.728	0.151	0	4	Siglech
Fcrls1	0	1.02996890818205	0.952	0.387	0	4	Fcrls
Ccl122	0	1.40291048624285	0.603	0.304	0	5	Ccl12
Cst32	0	1.3528556081505	1	0.983	0	5	Cst3
Ly862	0	1.35166485566534	0.99	0.454	0	5	Ly86
P2ry121	0	1.32947781219598	0.815	0.254	0	5	P2ry12
Tmem1191	0	1.21898812120732	0.849	0.288	0	5	Tmem119
Olfml31	0	1.20752876817049	0.918	0.433	0	5	Olfml3
Hexb3	0	1.20072373008532	0.997	0.659	0	5	Hexb
Selplg1	0	1.19051570701306	0.879	0.422	0	5	Selplg
Csf1r2	0	1.18109621696189	0.961	0.463	0	5	Csf1r
Gpr341	0	1.1603549135827	0.794	0.251	0	5	Gpr34
Cx3cr12	0	1.12710330240966	0.925	0.349	0	5	Cx3cr1
Aif1	0	1.12387410598542	0.963	0.456	0	5	Aif1
C1qa3	0	1.11735563862308	1	0.615	0	5	C1qa
C1qb2	0	1.09255534265171	1	0.64	0	5	C1qb
C1qc3	0	1.08312997269816	0.999	0.6	0	5	C1qc
Rgs10	0	1.04132506152334	0.949	0.518	0	5	Rgs10
Fcrls2	0	1.03020302965028	0.923	0.392	0	5	Fcrls
Siglech1	0	1.02931156047547	0.649	0.159	0	5	Siglech
Itm2a1	0	2.12918721044074	0.929	0.258	0	6	Itm2a
Ly6c11	0	2.02823472808999	0.994	0.3	0	6	Ly6c1
Slco1a41	0	1.96350986786525	0.932	0.169	0	6	Slco1a4
Cldn51	0	1.94666472949809	0.993	0.258	0	6	Cldn5
Bsg1	0	1.90123924440731	0.983	0.914	0	6	Bsg
Ly6a1	0	1.8586253108911	0.989	0.304	0	6	Ly6a
Cxcl121	0	1.70855701333508	0.719	0.156	0	6	Cxcl12
Pglyrp11	0	1.70678932513733	0.948	0.214	0	6	Pglyrp1
Ramp21	0	1.68941712203865	0.902	0.217	0	6	Ramp2
Spock21	0	1.66750845832544	0.817	0.193	0	6	Spock2
Pltp1	0	1.65808206672276	0.865	0.346	0	6	Pltp
Slco1c11	0	1.65515821456113	0.773	0.136	0	6	Slco1c1
Slc2a11	0	1.65469215577424	0.975	0.473	0	6	Slc2a1
Flt11	0	1.6444450210432	0.96	0.226	0	6	Flt1
Igfbp71	0	1.64080785558208	0.894	0.268	0	6	Igfbp7
Car41	0	1.61383924962277	0.723	0.158	0	6	Car4
Abcg21	0	1.5770280259717	0.857	0.26	0	6	Abcg2
Egfl71	0	1.53250217264384	0.926	0.211	0	6	Egfl7
Abcb1a1	0	1.52310029930513	0.814	0.159	0	6	Abcb1a
Esam1	0	1.483406234223	0.908	0.195	0	6	Esam
Sptbn11	0	1.46275253101267	0.89	0.376	0	6	Sptbn1
Id31	0	1.44833551431846	0.887	0.315	0	6	Id3
Tsc22d11	0	1.44062603357651	0.882	0.435	0	6	Tsc22d1
Vwa11	0	1.43407511702228	0.853	0.2	0	6	Vwa1
Cd2001	0	1.40858386505415	0.763	0.246	0	6	Cd200
Abhd21	0	1.40638086552421	0.671	0.282	0	6	Abhd2
Ptn1	0	1.40248927145766	0.765	0.257	0	6	Ptn
Slc9a3r21	0	1.39838860757633	0.781	0.182	0	6	Slc9a3r2
Epas11	0	1.36393263698601	0.819	0.23	0	6	Epas1
Id11	0	1.36251910818058	0.806	0.265	0	6	Id1
Ptprb1	0	1.35787677874679	0.708	0.143	0	6	Ptprb
Emcn1	0	1.35151703112637	0.782	0.167	0	6	Emcn
Srarp1	0	1.34870028061093	0.649	0.117	0	6	Srarp
Sgms11	0	1.34367277339996	0.779	0.278	0	6	Sgms1
Adgrf51	0	1.32855713468276	0.768	0.163	0	6	Adgrf5
Itih51	0	1.30403304239411	0.617	0.133	0	6	Itih5
Adgrl41	0	1.29944878834198	0.741	0.158	0	6	Adgrl4
Tspan131	0	1.29867154228919	0.776	0.336	0	6	Tspan13
Slc7a51	0	1.29112863206645	0.661	0.223	0	6	Slc7a5
Crip21	0	1.28430765144279	0.895	0.337	0	6	Crip2
Jcad1	0	1.28360431765185	0.688	0.153	0	6	Jcad
Sema3c1	0	1.28124491167641	0.62	0.129	0	6	Sema3c
Arl4a1	0	1.25639556072316	0.759	0.325	0	6	Arl4a
Wfdc11	0	1.2480116353441	0.663	0.13	0	6	Wfdc1
Ablim11	0	1.2335457086117	0.675	0.186	0	6	Ablim1
Slc39a101	0	1.21026793534965	0.637	0.244	0	6	Slc39a10
Ctla2a1	0	1.20999697108049	0.893	0.369	0	6	Ctla2a
Igf1r1	0	1.20997652094106	0.683	0.265	0	6	Igf1r
Ccdc1411	0	1.20764807245622	0.616	0.142	0	6	Ccdc141
Slc22a81	0	1.20220861692912	0.539	0.094	0	6	Slc22a8
Eng1	0	1.19700706318654	0.757	0.232	0	6	Eng
Tmem2521	0	1.19687137657417	0.603	0.157	0	6	Tmem252
Gsta41	0	1.1931335431218	0.638	0.229	0	6	Gsta4
Cyyr11	0	1.18441279663804	0.636	0.135	0	6	Cyyr1
Gpcpd11	0	1.16790040289493	0.691	0.326	0	6	Gpcpd1
Paqr51	0	1.16760898794587	0.633	0.128	0	6	Paqr5
BC0285281	0	1.16326943780526	0.692	0.315	0	6	BC028528
Slc38a51	0	1.16111882419373	0.455	0.085	0	6	Slc38a5
Cavin21	0	1.14902138356513	0.591	0.141	0	6	Cavin2
Gng111	0	1.14827778879761	0.817	0.298	0	6	Gng11
Slc7a11	0	1.14387717282423	0.499	0.186	0	6	Slc7a1
Nostrin1	0	1.13973214034975	0.598	0.139	0	6	Nostrin
Pecam11	0	1.1375839792937	0.738	0.184	0	6	Pecam1
Cd341	0	1.12728766029026	0.784	0.348	0	6	Cd34
Kank31	0	1.11515133903421	0.593	0.153	0	6	Kank3
Podxl1	0	1.11380438519643	0.574	0.152	0	6	Podxl
Lsr1	0	1.1011836629343	0.624	0.157	0	6	Lsr
Pcp4l11	0	1.09384160005689	0.804	0.273	0	6	Pcp4l1
Palmd1	0	1.08325067956418	0.56	0.135	0	6	Palmd
Ndrg11	0	1.07910172733357	0.681	0.246	0	6	Ndrg1
Mal1	0	1.07493002368428	0.714	0.186	0	6	Mal
Slc6a61	0	1.069446092762	0.685	0.534	0	6	Slc6a6
Ltbp4	0	1.06451940131513	0.503	0.138	0	6	Ltbp4
Klf21	0	1.05731289693502	0.839	0.546	0	6	Klf2
Acvrl11	0	1.05221401475658	0.661	0.244	0	6	Acvrl1
Foxq11	0	1.04903679630294	0.499	0.102	0	6	Foxq1
Grrp11	0	1.0400461830403	0.478	0.107	0	6	Grrp1
Fcgrt1	0	1.03780999269096	0.649	0.318	0	6	Fcgrt
S1pr11	0	1.02958197199471	0.676	0.264	0	6	S1pr1
Prom1	0	1.02655990796343	0.481	0.105	0	6	Prom1
Ly6e	0	1.02653297729146	0.969	0.737	0	6	Ly6e
Icam2	0	1.01845424910864	0.562	0.149	0	6	Icam2
Bcam1	0	1.0133778314875	0.559	0.142	0	6	Bcam
Hmcn11	0	1.01202496545808	0.428	0.085	0	6	Hmcn1
Kdr1	0	1.01081072223384	0.532	0.141	0	6	Kdr
Slc40a11	0	1.01045629711295	0.494	0.156	0	6	Slc40a1
Hspa1a1	0	1.00354348101346	0.685	0.476	0	6	Hspa1a
Degs21	0	1.00289470998115	0.488	0.097	0	6	Degs2
Ptprg1	0	1.00121995835333	0.561	0.182	0	6	Ptprg
Ocln	0	1.00000139393688	0.545	0.145	0	6	Ocln
ENSMUSG00000098178	3.90773385950774e-236	1.15504542403648	0.679	0.533	1.29646886256888e-231	6	ENSMUSG00000098178
Nnat	0	2.75020168259098	0.984	0.213	0	7	Nnat
