"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	1.9756294173258	0.459	0.03	0	"A-Endothelial"	"Gkn3"
0	1.19985906319801	0.624	0.098	0	"A-Endothelial"	"Stmn2"
0	1.15686686311327	0.988	0.8	0	"A-Endothelial"	"Glul"
0	1.0435982255907	0.629	0.074	0	"A-Endothelial"	"Bmx"
0	0.966178900086994	0.679	0.123	0	"A-Endothelial"	"Sema3g"
0	0.953404113098311	0.552	0.11	0	"A-Endothelial"	"Alpl"
0	0.693543117453077	0.383	0.028	0	"A-Endothelial"	"Vegfc"
1.71452102320733e-295	0.966096873927045	0.615	0.151	5.68826639869497e-291	"A-Endothelial"	"Edn3"
2.26434427634078e-279	0.793909127079927	0.448	0.079	7.51241500561582e-275	"A-Endothelial"	"Egfl8"
4.78038273925405e-276	0.716879275159408	0.517	0.108	1.58598758140232e-271	"A-Endothelial"	"Eps8l2"
1.78332706454152e-246	0.795430036883639	0.571	0.152	5.91654420202941e-242	"A-Endothelial"	"Cdk19"
7.03306073021391e-239	0.742376918701138	0.399	0.07	2.33335855846307e-234	"A-Endothelial"	"Tmem100"
1.74396377722817e-221	0.912650415086134	0.969	0.67	5.78594862370991e-217	"A-Endothelial"	"Slc6a6"
2.34838701446947e-179	0.663289987964146	0.498	0.141	7.79124359790537e-175	"A-Endothelial"	"Hey1"
9.83320896485238e-177	0.631143624329907	0.967	0.836	3.26236373826907e-172	"A-Endothelial"	"Epas1"
4.51797375948975e-170	0.481965266731253	0.369	0.081	1.49892815418591e-165	"A-Endothelial"	"Msx1"
6.31515807984278e-169	0.593504431242417	1	0.919	2.09517999614944e-164	"A-Endothelial"	"Ly6c1"
2.02671811616914e-167	0.804583024472431	0.949	0.777	6.72404269401434e-163	"A-Endothelial"	"Timp3"
3.75082025916774e-159	0.401998922675913	0.306	0.06	1.24440963738408e-154	"A-Endothelial"	"Gask1b"
2.65603933455518e-154	0.622191783213803	0.595	0.222	8.81194170025372e-150	"A-Endothelial"	"Mgst1"
5.09996992019405e-151	0.726288334747097	0.819	0.481	1.69201702042278e-146	"A-Endothelial"	"Nebl"
2.10581529878743e-145	0.284186526653602	0.206	0.029	6.98646341678706e-141	"A-Endothelial"	"Alox12"
1.93645944425339e-143	0.485387498186836	0.428	0.122	6.42459149819947e-139	"A-Endothelial"	"Crispld1"
1.3209123418295e-142	0.698805701952253	0.713	0.345	4.38239087648775e-138	"A-Endothelial"	"Prss23"
2.12414932725203e-141	0.585196102650254	0.431	0.128	7.04729022302405e-137	"A-Endothelial"	"Rad54b"
3.27884609809743e-129	0.464525871059854	0.388	0.112	1.08782276996579e-124	"A-Endothelial"	"Efnb2"
2.11692940077506e-124	0.383997369948354	0.26	0.053	7.0233366729514e-120	"A-Endothelial"	"Slc26a10"
2.88453354567965e-124	0.75704945108718	0.601	0.245	9.57001694450138e-120	"A-Endothelial"	"Edn1"
3.28490503107947e-123	0.443912077111321	0.986	0.846	1.08983294216123e-118	"A-Endothelial"	"Tm4sf1"
8.45703436026143e-123	0.692882781758552	0.685	0.347	2.80579028970394e-118	"A-Endothelial"	"Ccnd2"
7.32958627461639e-119	0.678562149645462	0.605	0.274	2.43173683832948e-114	"A-Endothelial"	"Tgfb2"
3.24830970685357e-111	0.529883307465135	0.937	0.786	1.07769171144281e-106	"A-Endothelial"	"Adgrf5"
6.159996567874e-110	0.436774893009562	0.319	0.087	2.04370206132356e-105	"A-Endothelial"	"Cd24a"
5.36958940227158e-109	0.355536335436943	0.995	0.977	1.78146867599164e-104	"A-Endothelial"	"Calm1"
3.68550291612663e-105	0.581289718781433	0.485	0.194	1.22273930248333e-100	"A-Endothelial"	"Amd1"
7.2601920569788e-105	0.46737425095914	0.943	0.828	2.40871391874386e-100	"A-Endothelial"	"Myl12b"
1.20085652187914e-104	0.450253407671994	0.997	0.967	3.98408168263843e-100	"A-Endothelial"	"B2m"
7.43353962948165e-104	0.441842332895057	0.423	0.149	2.46622544287313e-99	"A-Endothelial"	"Unc5b"
1.75956395841733e-103	0.745380636770776	0.905	0.725	5.83770534484119e-99	"A-Endothelial"	"Mal"
6.43502354902524e-102	0.521738577326566	0.544	0.239	2.1349477628601e-97	"A-Endothelial"	"Lmo7"
1.48133502999418e-99	0.411850691947796	0.985	0.941	4.9146252290117e-95	"A-Endothelial"	"H2-D1"
1.53820256761992e-99	0.415210014639327	0.41	0.146	5.1032946585926e-95	"A-Endothelial"	"St8sia6"
6.68883242092017e-96	0.404263803981429	0.208	0.045	2.21915393228868e-91	"A-Endothelial"	"Cdh13"
1.2030580520383e-95	0.553647928568834	0.549	0.251	3.99138569924747e-91	"A-Endothelial"	"Plscr2"
