	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Lyz2	0	2.31477424557116	0.908	0.415	0
Ctss	0	2.24548812818572	0.984	0.471	0
Ccl4	0	2.14781493255479	0.787	0.444	0
Ccl6	0	2.08687912443677	0.612	0.181	0
C1qb	0	2.08389745716577	0.912	0.479	0
Apoe	0	2.07545516114096	0.868	0.856	0
Spp1	0	2.03055609032718	0.863	0.558	0
C1qa	0	2.02269338335024	0.887	0.46	0
Tyrobp	0	2.0102910280053	0.998	0.46	0
Wfdc17	0	1.99193869262148	0.664	0.261	0
C1qc	0	1.95015452961039	0.894	0.429	0
Ctsd	0	1.91738963916541	0.993	0.82	0
Fcer1g	0	1.90928137675201	0.997	0.437	0
Ccl3	0	1.89821403920626	0.746	0.301	0
Hexb	0	1.85895971773047	0.927	0.498	0
Cd14	0	1.78702610588413	0.831	0.248	0
Cst3	0	1.7796160842565	0.999	0.989	0
Ftl1	0	1.7283002536737	1	0.994	0
S100a8	0	1.71445591715232	0.466	0.32	0
Cd74	0	1.70641623571056	0.369	0.056	0
Gpnmb	0	1.6715591467284	0.4	0.168	0
Ccl12	0	1.66574397038327	0.46	0.163	0
Trem2	0	1.64624429233296	0.865	0.282	0
Ctsb	0	1.6363081326235	0.992	0.856	0
Ccl9	0	1.61245417014065	0.556	0.125	0
Lgmn	0	1.60331346102709	0.959	0.571	0
Arg1	0	1.58427731655008	0.266	0.069	0
Fcgr3	0	1.54919946734778	0.944	0.256	0
Ctsz	0	1.52547756833245	0.986	0.605	0
Thbs1	0	1.51893289961055	0.394	0.159	0
Lgals3	0	1.51631005743199	0.726	0.455	0
Srgn	0	1.51338569476715	0.92	0.627	0
Cd52	0	1.50240953646611	0.948	0.308	0
Cxcl2	0	1.49198201427924	0.461	0.185	0
Grn	0	1.484707653202	0.957	0.498	0
Ly86	0	1.47799169253583	0.792	0.233	0
Cyba	0	1.47090653522185	0.993	0.606	0
Cd68	0	1.45243716656861	0.922	0.287	0
Csf1r	0	1.45193475662766	0.789	0.202	0
Bcl2a1b	0	1.41719089011411	0.882	0.224	0
Cd53	0	1.41263512089578	0.958	0.252	0
Laptm5	0	1.39558629244441	0.948	0.263	0
Il1b	0	1.39556028782384	0.437	0.092	0
Ctsl	0	1.35926116276367	0.948	0.749	0
Cd83	0	1.29872427243662	0.641	0.2	0
Fabp5	0	1.28636417789566	0.596	0.433	0
Plek	0	1.28620371456032	0.824	0.173	0
Alox5ap	0	1.28000042395571	0.842	0.218	0
Pf4	0	1.27135219308122	0.311	0.074	0
Cx3cr1	0	1.26952585100889	0.609	0.13	0
Cstb	0	1.25720239351308	0.902	0.72	0
Cebpb	0	1.2505598789247	0.668	0.395	0
Cotl1	0	1.24635023617821	0.956	0.418	0
Rgs10	0	1.2428698760711	0.848	0.249	0
Psap	0	1.22710157969227	0.991	0.918	0
Fcrls	0	1.21708887594991	0.67	0.186	0
Aif1	0	1.21467373256774	0.79	0.196	0
Hexa	0	1.20492123400152	0.847	0.409	0
Npc2	0	1.19921529185525	0.976	0.732	0
Selplg	0	1.17290481814709	0.691	0.142	0
Syngr1	0	1.15807443516618	0.738	0.262	0
Tnf	0	1.14435978305298	0.451	0.087	0
Ccl2	0	1.12332534874669	0.53	0.202	0
Hmox1	0	1.11776783084872	0.642	0.259	0
H2-Ab1	0	1.10710385821743	0.195	0.065	0
Ctsc	0	1.10367933678715	0.849	0.317	0
Coro1a	0	1.08625724290568	0.819	0.198	0
Spi1	0	1.07300775570736	0.868	0.172	0
Plin2	0	1.07255713363341	0.76	0.452	0
C5ar1	0	1.06151126911405	0.68	0.113	0
Lcp1	0	1.05597765434097	0.785	0.163	0
Ms4a6d	0	1.04886009324118	0.652	0.115	0
Cxcl3	0	1.04518144604307	0.102	0.027	0
Mafb	0	1.04410186663747	0.699	0.147	0
Itgam	0	1.04140733686312	0.623	0.096	0
B2m	0	1.03680800174606	0.999	0.842	0
Pycard	0	1.02892344587279	0.844	0.247	0
Cd300c2	0	1.00877742530196	0.756	0.139	0
Mpeg1	0	0.999834262190385	0.723	0.147	0
Ms4a6c	0	0.996908253599245	0.661	0.124	0
Ctsa	0	0.990322088717288	0.856	0.419	0
Unc93b1	0	0.987679420838071	0.769	0.178	0
P2ry12	0	0.983277760671155	0.442	0.063	0
Tlr2	0	0.979441783524947	0.659	0.104	0
C3ar1	0	0.972078648144009	0.693	0.093	0
Chil3	0	0.969303676512294	0.235	0.032	0
Fth1	0	0.965797602962675	1	1	0
Rgs1	0	0.963259836879328	0.494	0.097	0
